#ma[MeV]	Fa[GeV]
4	0.01
4	32.467174333623774
6	48.704952581452226
8	64.94778068593396
10	81.19737639641187
12	97.45548740196965
14	113.72389932271655
16	130.0044440500205
18	146.2990085172108
20	162.60954398909976
22	178.9380759670734
24	195.2867148166683
26	211.65766723668708
28	228.05324870340672
30	244.47589704066277
32	260.92818728698427
34	277.41284805517296
36	293.9327796083974
38	310.49107391094896
40	327.09103695228254
42	343.73621369127153
44	360.43041602521083
46	377.17775425721453
48	393.98267261872815
50	410.84998950392793
52	427.78494319410225
54	444.7932439973955
56	461.8811339091126
58	479.0554551181971
60	496.32372895691975
62	513.6942472267473
64	531.1761782512434
66	548.7796905295827
68	566.5160975218051
70	584.398027929261
72	602.4396268939005
74	620.6567948997916
76	639.0674729167222
78	657.6919846120519
80	676.5534494571575
82	695.6782845259218
84	715.0968180875707
86	734.8440452526631
88	754.9605656880223
90	775.4937568704983
92	796.499255128972
94	818.0428432855773
96	840.2028818166054
98	863.0734759881847
100	886.768653738271
102	911.4279533839252
104	937.2240118505122
106	964.3730462935188
108	993.1496107417516
108	0.01
