# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0
-7.475 -1.925 0.0
-7.475 -1.875 0.0
-7.475 -1.825 0.0
-7.475 -1.775 0.0
-7.475 -1.725 0.0
-7.475 -1.675 0.0
-7.475 -1.625 0.0
-7.475 -1.575 0.0
-7.475 -1.525 0.0
-7.475 -1.475 0.0
-7.475 -1.425 0.0
-7.475 -1.375 0.0
-7.475 -1.325 0.0
-7.475 -1.275 0.0
-7.475 -1.225 0.0
-7.475 -1.175 0.0
-7.475 -1.125 0.0
-7.475 -1.075 0.0
-7.475 -1.025 0.0
-7.475 -0.975 2.4766711773184055e-09
-7.475 -0.925 3.2566948381515333e-09
-7.475 -0.875 4.261073404976585e-09
-7.475 -0.825 5.548483159721902e-09
-7.475 -0.775 7.1921556333448275e-09
-7.475 -0.725 9.283664472963803e-09
-7.475 -0.675 1.1937753874230971e-08
-7.475 -0.625 1.5298461378441434e-08
-7.475 -0.575 1.954684703128966e-08
-7.475 -0.525 2.491072206145255e-08
-7.475 -0.475 3.1676877514888674e-08
-7.475 -0.425 4.020645055351118e-08
-7.475 -0.375 5.0954238468008954e-08
-7.475 -0.325 6.449298536220167e-08
-7.475 -0.275 8.15439345872894e-08
-7.475 -0.225 1.030152755390794e-07
-7.475 -0.175 1.3005053455274017e-07
-7.475 -0.125 1.6408948916401386e-07
-7.475 -0.075 2.0694485148698608e-07
-7.475 -0.025 2.60898805593537e-07
-7.475 0.025 3.288245403549788e-07
-7.475 0.075 4.1433924949668886e-07
-7.475 0.125 5.219967454008599e-07
-7.475 0.175 6.575299415299253e-07
-7.475 0.225 8.281561123042943e-07
-7.475 0.275 1.042961179872201e-06
-7.475 0.325 1.3133834818775267e-06
-7.475 0.375 1.653822766241712e-06
-7.475 0.425 2.0824068188018816e-06
-7.475 0.475 2.6219565102727468e-06
-7.475 0.525 3.301200593948443e-06
-7.475 0.575 4.156304852041059e-06
-7.475 0.625 5.2327968762340236e-06
-7.475 0.675 6.58798875487912e-06
-7.475 0.725 8.294026326069895e-06
-7.475 0.775 1.0441726821276833e-05
-7.475 0.825 1.3145408392778481e-05
-7.475 0.875 1.654896734301342e-05
-7.475 0.925 2.0833524538021032e-05
-7.475 0.975 2.6227044823636307e-05
-7.475 1.025 3.301643639869675e-05
-7.475 1.075 4.1562766119168545e-05
-7.475 1.125 5.232038783840503e-05
-7.475 1.175 6.586098169703403e-05
-7.475 1.225 8.290375185168254e-05
-7.475 1.275 0.0001043533392349393
-7.475 1.325 0.00013134738703729124
-7.475 1.375 0.00016531616369362863
-7.475 1.425 0.00020805721619737488
-7.475 1.475 0.0002618287101985674
-7.475 1.525 0.0003294659244646424
-7.475 1.575 0.0004145263106871569
-7.475 1.625 0.0005214695955627459
-7.475 1.675 0.0006558805540286379
-7.475 1.725 0.0008247432375034125
-7.475 1.775 0.0010367764387992308
-7.475 1.825 0.0013028407319507862
-7.475 1.875 0.0016364270637903957
-7.475 1.925 0.0020542348282637877
-7.475 1.975 0.002576842439625782
-7.475 2.025 0.0032294638806401343
-7.475 2.075 0.004042768062458614
-7.475 2.125 0.005053710846884764
-7.475 2.175 0.006306288454796242
-7.475 2.225 0.00785206224639969
-7.475 2.275 0.00975022751196014
-7.475 2.325 0.012066908781930029
-7.475 2.375 0.014873281463367775
-7.475 2.425 0.01824208988350931
-7.475 2.475 0.022242237365736866
-7.475 2.525 0.02693148523144019
-7.475 2.575 0.032348041172620544
-7.475 2.625 0.03850297380209786
-7.475 2.675 0.04537669456573117
-7.475 2.725 0.05292339735917339
-7.475 2.775 0.061085959727326805
-7.475 2.825 0.06981906830258898
-7.475 2.875 0.07911062269729928
-7.475 2.925 0.08898477795960734
-7.475 2.975 0.09947146571783155
-7.475 3.025 0.1105419793996829
-7.475 3.075 0.12203347483455243
-7.475 3.125 0.13360113194996767
-7.475 3.175 0.14472986241093397
-7.475 3.225 0.15480885984029
-7.475 3.275 0.16324114544241386
-7.475 3.325 0.1695471981320369
-7.475 3.375 0.1734316856207412
-7.475 3.425 0.17480393502272376
-7.475 3.475 0.1737612782025361
-7.475 3.525 0.17055212867259315
-7.475 3.575 0.1655331393978251
-7.475 3.625 0.1591253782140907
-7.475 3.675 0.15175661816461294
-7.475 3.725 0.14372430513594714
-7.475 3.775 0.1346112496731434
-7.475 3.825 0.11535828085558109
-7.475 3.875 0.0
-7.475 3.925 0.0
-7.475 3.975 0.0
-7.425 -1.975 0.0
-7.425 -1.925 0.0
-7.425 -1.875 0.0
-7.425 -1.825 0.0
-7.425 -1.775 0.0
-7.425 -1.725 0.0
-7.425 -1.675 0.0
-7.425 -1.625 0.0
-7.425 -1.575 0.0
-7.425 -1.525 0.0
-7.425 -1.475 0.0
-7.425 -1.425 0.0
-7.425 -1.375 0.0
-7.425 -1.325 0.0
-7.425 -1.275 0.0
-7.425 -1.225 0.0
-7.425 -1.175 0.0
-7.425 -1.125 0.0
-7.425 -1.075 0.0
-7.425 -1.025 0.0
-7.425 -0.975 3.117944281784317e-09
-7.425 -0.925 4.0999358902078555e-09
-7.425 -0.875 5.364373591045318e-09
-7.425 -0.825 6.9851264466858926e-09
-7.425 -0.775 9.054387492396371e-09
-7.425 -0.725 1.1687441119584817e-08
-7.425 -0.675 1.5028741712013618e-08
-7.425 -0.625 1.925962179067151e-08
-7.425 -0.575 2.460802244814388e-08
-7.425 -0.525 3.136074102930413e-08
-7.425 -0.475 3.987882606978454e-08
-7.425 -0.425 5.0616922319860775e-08
-7.425 -0.375 6.414758564599615e-08
-7.425 -0.325 8.119185815494459e-08
-7.425 -0.275 1.0265773142961947e-07
-7.425 -0.225 1.296885481791243e-07
-7.425 -0.175 1.637239227658589e-07
-7.425 -0.125 2.0657642771689888e-07
-7.425 -0.075 2.605281323769338e-07
-7.425 -0.025 3.284521362684454e-07
-7.425 0.025 4.139655698744124e-07
-7.425 0.075 5.21622210295094e-07
-7.425 0.125 6.571549676589748e-07
-7.425 0.175 8.277811524075281e-07
-7.425 0.225 1.0425867747124962e-06
-7.425 0.275 1.3130103328558728e-06
-7.425 0.325 1.6534518407662134e-06
-7.425 0.375 2.0820395070252445e-06
-7.425 0.425 2.62159486188287e-06
-7.425 0.475 3.3008476794010837e-06
-7.425 0.525 4.1559653171510115e-06
-7.425 0.575 5.232477797396808e-06
-7.425 0.625 6.58770096224644e-06
-7.425 0.675 8.293786456128826e-06
-7.425 0.725 1.044156050797491e-05
-7.425 0.775 1.3145355238311334e-05
-7.425 0.825 1.6549088674070372e-05
-7.425 0.875 2.083391552705431e-05
-7.425 0.925 2.6227853458124947e-05
-7.425 0.975 3.3017893204697535e-05
-7.425 1.025 4.156523078913725e-05
-7.425 1.075 5.232442245177114e-05
-7.425 1.125 6.586746580452382e-05
-7.425 1.175 8.2914063503836e-05
-7.425 1.225 0.00010436963993873186
-7.425 1.275 0.00013137307056776239
-7.425 1.325 0.00016535656331293186
-7.425 1.375 0.00020812071945252512
-7.425 1.425 0.0002619285165753211
-7.425 1.475 0.00032962281680197687
-7.425 1.525 0.0004147730246219976
-7.425 1.575 0.000521857706370574
-7.425 1.625 0.0006564913253149023
-7.425 1.675 0.0008257046965412593
-7.425 1.725 0.0010382902198556349
-7.425 1.775 0.0013052242050860525
-7.425 1.825 0.001640179304866139
-7.425 1.875 0.002060139614983879
-7.425 1.925 0.00258612842682593
-7.425 1.975 0.0032440524290114447
-7.425 2.025 0.004065654145141919
-7.425 2.075 0.005089543446767999
-7.425 2.125 0.006362245007350777
-7.425 2.175 0.007939146787255554
-7.425 2.225 0.009885160692928593
-7.425 2.275 0.012274809179262866
-7.425 2.325 0.015191338097566684
-7.425 2.375 0.01872435197585491
-7.425 2.425 0.022965430495331222
-7.425 2.475 0.028001317799431616
-7.425 2.525 0.03390473108157821
-7.425 2.575 0.04072377097348047
-7.425 2.625 0.048472372029324765
-7.425 2.675 0.05712587371521231
-7.425 2.725 0.06662660955482601
-7.425 2.775 0.07690266662713302
-7.425 2.825 0.08789699876714982
-7.425 2.875 0.09959437246935127
-7.425 2.925 0.11202519711345969
-7.425 2.975 0.12522715436216653
-7.425 3.025 0.13916410476378044
-7.425 3.075 0.15363103965105862
-7.425 3.125 0.16819385629297645
-7.425 3.175 0.18220409694157924
-7.425 3.225 0.19489280199337505
-7.425 3.275 0.2055084197473118
-7.425 3.325 0.21344726899429114
-7.425 3.375 0.21833754846747874
-7.425 3.425 0.2200651078030786
-7.425 3.475 0.21875248057544902
-7.425 3.525 0.2147124008685395
-7.425 3.575 0.2083938681522669
-7.425 3.625 0.20032697540771516
-7.425 3.675 0.1910502569689295
-7.425 3.725 0.18093817500094955
-7.425 3.775 0.1694655190853969
-7.425 3.825 0.14522746886135943
-7.425 3.875 0.0
-7.425 3.925 0.0
-7.425 3.975 0.0
-7.375 -1.975 0.0
-7.375 -1.925 0.0
-7.375 -1.875 0.0
-7.375 -1.825 0.0
-7.375 -1.775 0.0
-7.375 -1.725 0.0
-7.375 -1.675 0.0
-7.375 -1.625 0.0
-7.375 -1.575 0.0
-7.375 -1.525 0.0
-7.375 -1.475 0.0
-7.375 -1.425 0.0
-7.375 -1.375 0.0
-7.375 -1.325 0.0
-7.375 -1.275 0.0
-7.375 -1.225 0.0
-7.375 -1.175 0.0
-7.375 -1.125 0.0
-7.375 -1.075 0.0
-7.375 -1.025 0.0
-7.375 -0.975 3.925259288896583e-09
-7.375 -0.925 5.161513478909602e-09
-7.375 -0.875 6.753346232124474e-09
-7.375 -0.825 8.793753188328349e-09
-7.375 -0.775 1.1398798502409043e-08
-7.375 -0.725 1.4713616624293379e-08
-7.375 -0.675 1.8920064848544895e-08
-7.375 -0.625 2.4246427293821007e-08
-7.375 -0.575 3.097966479396957e-08
-7.375 -0.525 3.948083381448684e-08
-7.375 -0.475 5.020446753177134e-08
-7.375 -0.425 6.372292977528384e-08
-7.375 -0.375 8.075702567498701e-08
-7.375 -0.325 1.0221449346204676e-07
-7.375 -0.275 1.292384268138879e-07
-7.375 -0.225 1.6326820892139062e-07
-7.375 -0.175 2.0611620688856345e-07
-7.375 -0.125 2.60064314330462e-07
-7.375 -0.075 3.279854863365922e-07
-7.375 -0.025 4.1349674090641946e-07
-7.375 0.025 5.211517755227405e-07
-7.375 0.075 6.566834558967172e-07
-7.375 0.125 8.273090882726304e-07
-7.375 0.175 1.0421147281700537e-06
-7.375 0.225 1.312538984686013e-06
-7.375 0.275 1.6529820739804667e-06
-7.375 0.325 2.081572539518257e-06
-7.375 0.375 2.6211324437532074e-06
-7.375 0.425 3.3003923910529317e-06
-7.375 0.475 4.155521024059148e-06
