# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0
-7.475 -1.925 0.0
-7.475 -1.875 0.0
-7.475 -1.825 0.0
-7.475 -1.775 0.0
-7.475 -1.725 0.0
-7.475 -1.675 0.0
-7.475 -1.625 0.0
-7.475 -1.575 0.0
-7.475 -1.525 0.0
-7.475 -1.475 0.0
-7.475 -1.425 0.0
-7.475 -1.375 0.0
-7.475 -1.325 0.0
-7.475 -1.275 0.0
-7.475 -1.225 0.0
-7.475 -1.175 0.0
-7.475 -1.125 0.0
-7.475 -1.075 0.0
-7.475 -1.025 0.0
-7.475 -0.975 0.0
-7.475 -0.925 0.0
-7.475 -0.875 0.0
-7.475 -0.825 0.0
-7.475 -0.775 0.0
-7.475 -0.725 0.0
-7.475 -0.675 0.0
-7.475 -0.625 0.0
-7.475 -0.575 0.0
-7.475 -0.525 0.0
-7.475 -0.475 0.0
-7.475 -0.425 0.0
-7.475 -0.375 0.0
-7.475 -0.325 0.0
-7.475 -0.275 0.0
-7.475 -0.225 0.0
-7.475 -0.175 0.0
-7.475 -0.125 4.055337798752085e-08
-7.475 -0.075 5.321764039170448e-08
-7.475 -0.025 6.949362911687799e-08
-7.475 0.025 9.032134527986978e-08
-7.475 0.075 1.1687482321659786e-07
-7.475 0.125 1.5062337239438993e-07
-7.475 0.175 1.934094879087572e-07
-7.475 0.225 2.4754744912173004e-07
-7.475 0.275 3.159476146016869e-07
-7.475 0.325 4.0227275811766983e-07
-7.475 0.375 5.111345318161698e-07
-7.475 0.425 6.48340350113536e-07
-7.475 0.475 8.212037480937227e-07
-7.475 0.525 1.0389347087462147e-06
-7.475 0.575 1.3131307504169665e-06
-7.475 0.625 1.658394949781102e-06
-7.475 0.675 2.09311383842434e-06
-7.475 0.725 2.640436618253304e-06
-7.475 0.775 3.3295078493048616e-06
-7.475 0.825 4.1970192452266415e-06
-7.475 0.875 5.289163184809232e-06
-7.475 0.925 6.664091914942151e-06
-7.475 0.975 8.39501331630489e-06
-7.475 1.025 1.0574087955929038e-05
-7.475 1.075 1.3317334756841657e-05
-7.475 1.125 1.677080623390692e-05
-7.475 1.175 2.1118361718452012e-05
-7.475 1.225 2.6591451895365525e-05
-7.475 1.275 3.348143479655344e-05
-7.475 1.325 4.2155077778045986e-05
-7.475 1.375 5.3074069044597744e-05
-7.475 1.425 6.681957487725809e-05
-7.475 1.475 8.412314603682236e-05
-7.475 1.525 0.0001059056128671021
-7.475 1.575 0.00013332603095648078
-7.475 1.625 0.00016784326979778954
-7.475 1.675 0.00021129350316410366
-7.475 1.725 0.00026598769613591706
-7.475 1.775 0.0003348342325000786
-7.475 1.825 0.00042149314050257854
-7.475 1.875 0.0005305700201078693
-7.475 1.925 0.000667859831527793
-7.475 1.975 0.0008406532713234605
-7.475 2.025 0.0010581216582963404
-7.475 2.075 0.001331800219869139
-7.475 2.125 0.001676194579665914
-7.475 2.175 0.0021095412933191692
-7.475 2.225 0.0026547606790002292
-7.475 2.275 0.003340649169766629
-7.475 2.325 0.004203369192140067
-7.475 2.375 0.005288307307465407
-7.475 2.425 0.00665238605893791
-7.475 2.475 0.008366931387896062
-7.475 2.525 0.010521214842891608
-7.475 2.575 0.013226806426055652
-7.475 2.625 0.01662288660010244
-7.475 2.675 0.02088266901270539
-7.475 2.725 0.02622106919842081
-7.475 2.775 0.03290370307048911
-7.475 2.825 0.04125718753230609
-7.475 2.875 0.05168050660014439
-7.475 2.925 0.06465684718488733
-7.475 2.975 0.08076473195398604
-7.475 3.025 0.10068641462528445
-7.475 3.075 0.12521033250044422
-7.475 3.125 0.15522307006767483
-7.475 3.175 0.19168533383230701
-7.475 3.225 0.23558735393435293
-7.475 3.275 0.2878851426319147
-7.475 3.325 0.3494360414199851
-7.475 3.375 0.4209881292636472
-7.475 3.425 0.5033376117485461
-7.475 3.475 0.5978297251887
-7.475 3.525 0.7073441557667398
-7.475 3.575 0.8375361668436225
-7.475 3.625 0.997066534826857
-7.475 3.675 1.1938933997853407
-7.475 3.725 1.423714903141832
-7.475 3.775 1.6466048792689687
-7.475 3.825 1.6598134521377053
-7.475 3.875 0.0
-7.475 3.925 0.0
-7.475 3.975 0.0
-7.425 -1.975 0.0
-7.425 -1.925 0.0
-7.425 -1.875 0.0
-7.425 -1.825 0.0
-7.425 -1.775 0.0
-7.425 -1.725 0.0
-7.425 -1.675 0.0
-7.425 -1.625 0.0
-7.425 -1.575 0.0
-7.425 -1.525 0.0
-7.425 -1.475 0.0
-7.425 -1.425 0.0
-7.425 -1.375 0.0
-7.425 -1.325 0.0
-7.425 -1.275 0.0
-7.425 -1.225 0.0
-7.425 -1.175 0.0
-7.425 -1.125 0.0
-7.425 -1.075 0.0
-7.425 -1.025 0.0
-7.425 -0.975 0.0
-7.425 -0.925 0.0
-7.425 -0.875 0.0
-7.425 -0.825 0.0
-7.425 -0.775 0.0
-7.425 -0.725 0.0
-7.425 -0.675 0.0
-7.425 -0.625 0.0
-7.425 -0.575 0.0
-7.425 -0.525 0.0
-7.425 -0.475 0.0
-7.425 -0.425 0.0
-7.425 -0.375 0.0
-7.425 -0.325 0.0
-7.425 -0.275 0.0
-7.425 -0.225 0.0
-7.425 -0.175 0.0
-7.425 -0.125 5.1053678082584175e-08
-7.425 -0.075 6.69970398448404e-08
-7.425 -0.025 8.748729565303668e-08
-7.425 0.025 1.1370783680026309e-07
-7.425 0.075 1.4713668494632572e-07
-7.425 0.125 1.8962359111743329e-07
-7.425 0.175 2.434881192104308e-07
-7.425 0.225 3.116437743241692e-07
-7.425 0.275 3.977544808178128e-07
-7.425 0.325 5.064313976668619e-07
-7.425 0.375 6.434802509488887e-07
-7.425 0.425 8.162121422494556e-07
-7.425 0.475 1.0338342667357997e-06
-7.425 0.525 1.3079413060355757e-06
-7.425 0.575 1.653133670708255e-06
-7.425 0.625 2.0877955450705273e-06
-7.425 0.675 2.6350742009704113e-06
-7.425 0.725 3.3241127569509077e-06
-7.425 0.775 4.191602040257985e-06
-7.425 0.825 5.283734181604914e-06
-7.425 0.875 6.658661940482388e-06
-7.425 0.925 8.389594658252531e-06
-7.425 0.975 1.056869559624634e-05
-7.425 1.025 1.3311988034265223e-05
-7.425 1.075 1.6765531142756885e-05
-7.425 1.125 2.1113194144140247e-05
-7.425 1.175 2.6586442222818466e-05
-7.425 1.225 3.3476654527574795e-05
-7.425 1.275 4.215062908870579e-05
-7.425 1.325 5.307009865093408e-05
-7.425 1.375 6.681629422755022e-05
-7.425 1.425 8.412086081824422e-05
-7.425 1.475 0.0001059047662657972
-7.425 1.525 0.00013332726728998215
-7.425 1.575 0.00016784752842469337
-7.425 1.625 0.0002113021575469412
-7.425 1.675 0.00026600276048011014
-7.425 1.725 0.000334858669889788
-7.425 1.775 0.0004215313240324645
-7.425 1.825 0.0005306284254748623
-7.425 1.875 0.0006679480810487285
-7.425 1.925 0.0008407857134249894
-7.425 1.975 0.001058319765773954
-7.425 2.025 0.00133209624439421
-7.425 2.075 0.0016766371402186391
-7.425 2.125 0.002110203951440868
-7.425 2.175 0.002655755141369268
-7.425 2.225 0.003342145680994559
-7.425 2.275 0.004205628131659404
-7.425 2.325 0.0052917282910601325
-7.425 2.375 0.006657584454621413
-7.425 2.425 0.008374857858465614
-7.425 2.475 0.010533342542647787
-7.425 2.525 0.013245424728164229
-7.425 2.575 0.016651562725850652
-7.425 2.625 0.020926974356977684
-7.425 2.675 0.02628972268416598
-7.425 2.725 0.033010370335089766
-7.425 2.775 0.0414233079324352
-7.425 2.825 0.0519397217953774
-7.425 2.875 0.06506190304020953
-7.425 2.925 0.08139814794657789
-7.425 2.975 0.10167677340005093
-7.425 3.025 0.12675668594044462
-7.425 3.075 0.15763046931781197
-7.425 3.125 0.19541426726662975
-7.425 3.175 0.24131753760774355
-7.425 3.225 0.2965869062085345
-7.425 3.275 0.362425921163154
-7.425 3.325 0.4399139114145036
-7.425 3.375 0.5299926524961028
-7.425 3.425 0.6336645077095496
-7.425 3.475 0.7526230289959344
-7.425 3.525 0.8904935260779402
-7.425 3.575 1.0543955531247216
-7.425 3.625 1.2552323809358585
-7.425 3.675 1.5030227139237093
-7.425 3.725 1.7923508342841066
-7.425 3.775 2.0729526825320876
-7.425 3.825 2.0895812992610554
-7.425 3.875 0.0
-7.425 3.925 0.0
-7.425 3.975 0.0
-7.375 -1.975 0.0
-7.375 -1.925 0.0
-7.375 -1.875 0.0
-7.375 -1.825 0.0
-7.375 -1.775 0.0
-7.375 -1.725 0.0
-7.375 -1.675 0.0
-7.375 -1.625 0.0
-7.375 -1.575 0.0
-7.375 -1.525 0.0
-7.375 -1.475 0.0
-7.375 -1.425 0.0
-7.375 -1.375 0.0
-7.375 -1.325 0.0
-7.375 -1.275 0.0
-7.375 -1.225 0.0
-7.375 -1.175 0.0
-7.375 -1.125 0.0
-7.375 -1.075 0.0
-7.375 -1.025 0.0
-7.375 -0.975 0.0
-7.375 -0.925 0.0
-7.375 -0.875 0.0
-7.375 -0.825 0.0
-7.375 -0.775 0.0
-7.375 -0.725 0.0
-7.375 -0.675 0.0
-7.375 -0.625 0.0
-7.375 -0.575 0.0
-7.375 -0.525 0.0
-7.375 -0.475 0.0
-7.375 -0.425 0.0
-7.375 -0.375 0.0
-7.375 -0.325 0.0
-7.375 -0.275 0.0
-7.375 -0.225 0.0
-7.375 -0.175 0.0
-7.375 -0.125 6.427277270372404e-08
-7.375 -0.075 8.434427597565582e-08
-7.375 -0.025 1.1013997970675706e-07
-7.375 0.025 1.4314968526799493e-07
-7.375 0.075 1.852341116860815e-07
-7.375 0.125 2.3872195753340313e-07
-7.375 0.175 3.0653338074397843e-07
-7.375 0.225 3.923362669241425e-07
-7.375 0.275 5.007432235565391e-07
-7.375 0.325 6.37559355853248e-07
-7.375 0.375 8.100936399072415e-07
-7.375 0.425 1.0275502072927916e-06
-7.375 0.475 1.3015202299772818e-06
-7.375 0.525 1.646600547303429e-06
-7.375 0.575 2.0811719871471794e-06
-7.375 0.625 2.628378866319921e-06
-7.375 0.675 3.31736187356483e-06
-7.375 0.725 4.184810021394613e-06
-7.375 0.775 5.276914324608976e-06
-7.375 0.825 6.65182723038776e-06
-7.375 0.875 8.382758725419737e-06
-7.375 0.925 1.0561873909926403e-05
-7.375 0.975 1.3305199455631133e-05
-7.375 1.025 1.6758800017835603e-05
-7.375 1.075 2.1106553197841933e-05
-7.375 1.125 2.657993663220003e-05
-7.375 1.175 3.3470347723500516e-05
-7.375 1.225 4.214461108661337e-05
-7.375 1.275 5.3064498082874525e-05
-7.375 1.325 6.681129579807217e-05
