# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0
-7.475 -1.925 0.0
-7.475 -1.875 0.0
-7.475 -1.825 0.0
-7.475 -1.775 0.0
-7.475 -1.725 0.0
-7.475 -1.675 0.0
-7.475 -1.625 0.0
-7.475 -1.575 0.0
-7.475 -1.525 0.0
-7.475 -1.475 0.0
-7.475 -1.425 0.0
-7.475 -1.375 0.0
-7.475 -1.325 0.0
-7.475 -1.275 0.0
-7.475 -1.225 0.0
-7.475 -1.175 0.0
-7.475 -1.125 0.0
-7.475 -1.075 0.0
-7.475 -1.025 0.0
-7.475 -0.975 0.0
-7.475 -0.925 0.0
-7.475 -0.875 0.0
-7.475 -0.825 0.0
-7.475 -0.775 0.0
-7.475 -0.725 0.0
-7.475 -0.675 0.0
-7.475 -0.625 0.0
-7.475 -0.575 0.0
-7.475 -0.525 0.0
-7.475 -0.475 0.0
-7.475 -0.425 0.0
-7.475 -0.375 0.0
-7.475 -0.325 0.0
-7.475 -0.275 0.0
-7.475 -0.225 0.0
-7.475 -0.175 0.0
-7.475 -0.125 0.0
-7.475 -0.075 0.0
-7.475 -0.025 0.0
-7.475 0.025 0.0
-7.475 0.075 0.0
-7.475 0.125 0.0
-7.475 0.175 0.0
-7.475 0.225 0.0
-7.475 0.275 0.0
-7.475 0.325 0.0
-7.475 0.375 3.1197603002905045e-13
-7.475 0.425 4.10225687996104e-13
-7.475 0.475 5.367322982107489e-13
-7.475 0.525 6.988854835779855e-13
-7.475 0.575 9.059078725582379e-13
-7.475 0.625 1.1693319757445233e-12
-7.475 0.675 1.5036082010909741e-12
-7.475 0.725 1.926875826858446e-12
-7.475 0.775 2.4619362017719204e-12
-7.475 0.825 3.137477655467767e-12
-7.475 0.875 3.989615100162687e-12
-7.475 0.925 5.063824573204471e-12
-7.475 0.975 6.4173746465555396e-12
-7.475 1.025 8.122383654698416e-12
-7.475 1.075 1.0269665403499255e-11
-7.475 1.125 1.2973568201354088e-11
-7.475 1.175 1.6378064980293582e-11
-7.475 1.225 2.0664418810993312e-11
-7.475 1.275 2.6060831838352052e-11
-7.475 1.325 3.285459104709026e-11
-7.475 1.375 4.140735691836811e-11
-7.475 1.425 5.217440800300586e-11
-7.475 1.475 6.572886457078722e-11
-7.475 1.525 8.279217893802116e-11
-7.475 1.575 1.0427251284063824e-10
-7.475 1.625 1.3131304093780732e-10
-7.475 1.675 1.6535274638207793e-10
-7.475 1.725 2.0820293728358977e-10
-7.475 1.775 2.6214354694382854e-10
-7.475 1.825 3.3004433013316857e-10
-7.475 1.875 4.1551738807176737e-10
-7.475 1.925 5.231091162125202e-10
-7.475 1.975 6.585417597110086e-10
-7.475 2.025 8.29017392950086e-10
-7.475 2.075 1.043600452245474e-09
-7.475 2.125 1.313699122639839e-09
-7.475 2.175 1.653671135680923e-09
-7.475 2.225 2.0815861613119042e-09
-7.475 2.275 2.6201853380779434e-09
-7.475 2.325 3.2980890486294468e-09
-7.475 2.375 4.151317413310992e-09
-7.475 2.425 5.225204923892734e-09
-7.475 2.475 6.5768121948623635e-09
-7.475 2.525 8.277965327321543e-09
-7.475 2.575 1.0419088685555324e-08
-7.475 2.625 1.3114042478727002e-08
-7.475 2.675 1.6506235915561368e-08
-7.475 2.725 2.0776364862147612e-08
-7.475 2.775 2.6152227232120387e-08
-7.475 2.825 3.2921210872475185e-08
-7.475 2.875 4.144624472060623e-08
-7.475 2.925 5.2186282078565435e-08
-7.475 2.975 6.572279038474341e-08
-7.475 3.025 8.2794331790497e-08
-7.475 3.075 1.0434226729799049e-07
-7.475 3.125 1.3157214495199513e-07
-7.475 3.175 1.6603788509600862e-07
-7.475 3.225 2.0976030451928378e-07
-7.475 3.275 2.653995132989555e-07
-7.475 3.325 3.365157526089078e-07
-7.475 3.375 4.2798283668541966e-07
-7.475 3.425 5.466796708498476e-07
-7.475 3.475 7.027200932273339e-07
-7.475 3.525 9.11799400537057e-07
-7.475 3.575 1.2000554112992236e-06
-7.475 3.625 1.615199746683729e-06
-7.475 3.675 2.2555075534287393e-06
-7.475 3.725 3.359816234960393e-06
-7.475 3.775 5.667058360232769e-06
-7.475 3.825 1.2031854457467355e-05
-7.475 3.875 0.0
-7.475 3.925 0.0
-7.475 3.975 0.0
-7.425 -1.975 0.0
-7.425 -1.925 0.0
-7.425 -1.875 0.0
-7.425 -1.825 0.0
-7.425 -1.775 0.0
-7.425 -1.725 0.0
-7.425 -1.675 0.0
-7.425 -1.625 0.0
-7.425 -1.575 0.0
-7.425 -1.525 0.0
-7.425 -1.475 0.0
-7.425 -1.425 0.0
-7.425 -1.375 0.0
-7.425 -1.325 0.0
-7.425 -1.275 0.0
-7.425 -1.225 0.0
-7.425 -1.175 0.0
-7.425 -1.125 0.0
-7.425 -1.075 0.0
-7.425 -1.025 0.0
-7.425 -0.975 0.0
-7.425 -0.925 0.0
-7.425 -0.875 0.0
-7.425 -0.825 0.0
-7.425 -0.775 0.0
-7.425 -0.725 0.0
-7.425 -0.675 0.0
-7.425 -0.625 0.0
-7.425 -0.575 0.0
-7.425 -0.525 0.0
-7.425 -0.475 0.0
-7.425 -0.425 0.0
-7.425 -0.375 0.0
-7.425 -0.325 0.0
-7.425 -0.275 0.0
-7.425 -0.225 0.0
-7.425 -0.175 0.0
-7.425 -0.125 0.0
-7.425 -0.075 0.0
-7.425 -0.025 0.0
-7.425 0.025 0.0
-7.425 0.075 0.0
-7.425 0.125 0.0
-7.425 0.175 0.0
-7.425 0.225 0.0
-7.425 0.275 0.0
-7.425 0.325 0.0
-7.425 0.375 3.9275455207423154e-13
-7.425 0.425 5.164435431890403e-13
-7.425 0.475 6.757059295481959e-13
-7.425 0.525 8.7984469521038e-13
-7.425 0.575 1.1404704415079568e-12
-7.425 0.625 1.472101739088259e-12
-7.425 0.675 1.8929305737355393e-12
-7.425 0.725 2.425792943803992e-12
-7.425 0.775 3.0993940466266768e-12
-7.425 0.825 3.949850349404749e-12
-7.425 0.875 5.022627832872527e-12
-7.425 0.925 6.374977436074846e-12
-7.425 0.975 8.07899601955235e-12
-7.425 1.025 1.0225475187241377e-11
-7.425 1.075 1.292874274708855e-11
-7.425 1.125 1.6332754690329312e-11
-7.425 1.175 2.0618762199707577e-11
-7.425 1.225 2.6014961961116654e-11
-7.425 1.275 3.2808643453795536e-11
-7.425 1.325 4.136147956328651e-11
-7.425 1.375 5.2128773859763736e-11
-7.425 1.425 6.568368808029965e-11
-7.425 1.475 8.274773789653914e-11
-7.425 1.525 1.0422917796288113e-10
-7.425 1.575 1.3127131616670756e-10
-7.425 1.625 1.653133241365647e-10
-7.425 1.675 2.0816677433034014e-10
-7.425 1.725 2.621119685564767e-10
-7.425 1.775 3.300191727854084e-10
-7.425 1.825 4.1550119422317454e-10
-7.425 1.875 5.231053988858001e-10
-7.425 1.925 6.585553595409927e-10
-7.425 1.975 8.290549560276189e-10
-7.425 2.025 1.0436710628038672e-09
-7.425 2.075 1.3138151290911627e-09
-7.425 2.125 1.6538492089421223e-09
-7.425 2.175 2.081848615457847e-09
-7.425 2.225 2.6205617153124267e-09
-7.425 2.275 3.2986179057133142e-09
-7.425 2.325 4.152048113674089e-09
-7.425 2.375 5.226198984031976e-09
-7.425 2.425 6.578143260506464e-09
-7.425 2.475 8.279716000687533e-09
-7.425 2.525 1.042134090848029e-08
-7.425 2.575 1.3116855513925532e-08
-7.425 2.625 1.6509601327726297e-08
-7.425 2.675 2.0780119847023815e-08
-7.425 2.725 2.6155893689431335e-08
-7.425 2.775 3.2923703437156965e-08
-7.425 2.825 4.144534895379118e-08
-7.425 2.875 5.217773070124105e-08
-7.425 2.925 6.56986366541982e-08
-7.425 2.975 8.274009094683695e-08
-7.425 3.025 1.0423188823944616e-07
-7.425 3.075 1.3135913181891185e-07
-7.425 3.125 1.6563951675323653e-07
-7.425 3.175 2.090293128495451e-07
-7.425 3.225 2.640725777142828e-07
-7.425 3.275 3.341181915179022e-07
-7.425 3.325 4.236482323392629e-07
-7.425 3.375 5.387984687593204e-07
-7.425 3.425 6.882289294657735e-07
-7.425 3.475 8.846721822297063e-07
-7.425 3.525 1.1478874348147042e-06
-7.425 3.575 1.5107802508777956e-06
-7.425 3.625 2.033416002011334e-06
-7.425 3.675 2.8395157656809853e-06
-7.425 3.725 4.2297580113266565e-06
-7.425 3.775 7.134403699182245e-06
-7.425 3.825 1.5147207063349457e-05
-7.425 3.875 0.0
-7.425 3.925 0.0
-7.425 3.975 0.0
-7.375 -1.975 0.0
-7.375 -1.925 0.0
-7.375 -1.875 0.0
-7.375 -1.825 0.0
-7.375 -1.775 0.0
-7.375 -1.725 0.0
-7.375 -1.675 0.0
-7.375 -1.625 0.0
-7.375 -1.575 0.0
-7.375 -1.525 0.0
-7.375 -1.475 0.0
-7.375 -1.425 0.0
-7.375 -1.375 0.0
-7.375 -1.325 0.0
-7.375 -1.275 0.0
-7.375 -1.225 0.0
-7.375 -1.175 0.0
-7.375 -1.125 0.0
-7.375 -1.075 0.0
-7.375 -1.025 0.0
-7.375 -0.975 0.0
-7.375 -0.925 0.0
-7.375 -0.875 0.0
-7.375 -0.825 0.0
-7.375 -0.775 0.0
-7.375 -0.725 0.0
-7.375 -0.675 0.0
-7.375 -0.625 0.0
-7.375 -0.575 0.0
-7.375 -0.525 0.0
-7.375 -0.475 0.0
-7.375 -0.425 0.0
-7.375 -0.375 0.0
-7.375 -0.325 0.0
-7.375 -0.275 0.0
-7.375 -0.225 0.0
-7.375 -0.175 0.0
-7.375 -0.125 0.0
-7.375 -0.075 0.0
-7.375 -0.025 0.0
-7.375 0.025 0.0
-7.375 0.075 0.0
-7.375 0.125 0.0
-7.375 0.175 0.0
-7.375 0.225 0.0
-7.375 0.275 0.0
-7.375 0.325 0.0
-7.375 0.375 4.944486862040852e-13
-7.375 0.425 6.501639002777006e-13
-7.375 0.475 8.506633656082223e-13
-7.375 0.525 1.10765884523264e-12
-7.375 0.575 1.4357672202144779e-12
-7.375 0.625 1.853266288084593e-12
-7.375 0.675 2.3830584020377785e-12
-7.375 0.725 3.0538923807058198e-12
-7.375 0.775 3.901905926461871e-12
-7.375 0.825 4.972566977649699e-12
-7.375 0.875 6.323113812787874e-12
-7.375 0.925 8.02562109388902e-12
-7.375 0.975 1.0170853390798343e-11
-7.375 1.025 1.2873110560888822e-11
-7.375 1.075 1.6276322786859203e-11
-7.375 1.125 2.0561719924255797e-11
-7.375 1.175 2.595748369295264e-11
-7.375 1.225 3.2750896699708006e-11
-7.375 1.275 4.130363497047698e-11
-7.375 1.325 5.207101769162561e-11
-7.375 1.375 6.562623809772667e-11
