# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0
-7.475 -1.925 0.0
-7.475 -1.875 0.0
-7.475 -1.825 0.0
-7.475 -1.775 0.0
-7.475 -1.725 0.0
-7.475 -1.675 0.0
-7.475 -1.625 0.0
-7.475 -1.575 0.0
-7.475 -1.525 0.0
-7.475 -1.475 0.0
-7.475 -1.425 0.0
-7.475 -1.375 0.0
-7.475 -1.325 0.0
-7.475 -1.275 0.0
-7.475 -1.225 0.0
-7.475 -1.175 0.0
-7.475 -1.125 0.0
-7.475 -1.075 0.0
-7.475 -1.025 0.0
-7.475 -0.975 0.0
-7.475 -0.925 0.0
-7.475 -0.875 0.0
-7.475 -0.825 0.0
-7.475 -0.775 0.0
-7.475 -0.725 0.0
-7.475 -0.675 0.0
-7.475 -0.625 0.0
-7.475 -0.575 0.0
-7.475 -0.525 0.0
-7.475 -0.475 0.0
-7.475 -0.425 0.0
-7.475 -0.375 0.0
-7.475 -0.325 0.0
-7.475 -0.275 0.0
-7.475 -0.225 0.0
-7.475 -0.175 0.0
-7.475 -0.125 0.0
-7.475 -0.075 0.0
-7.475 -0.025 0.0
-7.475 0.025 0.0
-7.475 0.075 0.0
-7.475 0.125 0.0
-7.475 0.175 0.0
-7.475 0.225 0.0
-7.475 0.275 0.0
-7.475 0.325 0.0
-7.475 0.375 0.0
-7.475 0.425 0.0
-7.475 0.475 0.0
-7.475 0.525 0.0
-7.475 0.575 0.0
-7.475 0.625 0.0
-7.475 0.675 0.0
-7.475 0.725 0.0
-7.475 0.775 0.0
-7.475 0.825 0.0
-7.475 0.875 2.5264639225074285e-17
-7.475 0.925 5.043628820961925e-17
-7.475 0.975 1.0069342923821574e-16
-7.475 1.025 2.0104373334090896e-16
-7.475 1.075 4.014349239517412e-16
-7.475 1.125 8.016397324743162e-16
-7.475 1.175 1.6009861181934842e-15
-7.475 1.225 3.1977573193156807e-15
-7.475 1.275 6.387913632645982e-15
-7.475 1.325 1.2762474275135145e-14
-7.475 1.375 2.5502370159942812e-14
-7.475 1.425 5.096880315624262e-14
-7.475 1.475 1.0188633726337828e-13
-7.475 1.525 2.037162133309303e-13
-7.475 1.575 4.0742259496839355e-13
-7.475 1.625 8.150562976619566e-13
-7.475 1.675 1.6310516618515245e-12
-7.475 1.725 3.2651396189418715e-12
-7.475 1.775 6.538948354269885e-12
-7.475 1.825 1.3101059133171987e-11
-7.475 1.875 2.6261513833221858e-11
-7.475 1.925 5.26711672377221e-11
-7.475 1.975 1.0570454507351928e-10
-7.475 2.025 2.1228170209441693e-10
-7.475 2.075 4.2664187483346416e-10
-7.475 2.125 8.581904436376672e-10
-7.475 2.175 1.7278818431679625e-09
-7.475 2.225 3.482565473609246e-09
-7.475 2.275 7.027293102298954e-09
-7.475 2.325 1.419819010870391e-08
-7.475 2.375 2.872701600733517e-08
-7.475 2.425 5.8213092739747095e-08
-7.475 2.475 1.1816433671239489e-07
-7.475 2.525 2.4029938749923603e-07
-7.475 2.575 4.896487509532544e-07
-7.475 2.625 9.998747146546958e-07
-7.475 2.675 2.0464121317016313e-06
-7.475 2.725 4.198306911623668e-06
-7.475 2.775 8.634117261734015e-06
-7.475 2.825 1.7800222748242346e-05
-7.475 2.875 3.678370534415012e-05
-7.475 2.925 7.617368577555588e-05
-7.475 2.975 0.00015800907598924636
-7.475 3.025 0.0003280723013456463
-7.475 3.075 0.0006810465763142728
-7.475 3.125 0.001411160785141238
-7.475 3.175 0.002911563173715869
-7.475 3.225 0.005961781875913521
-7.475 3.275 0.012060675638991195
-7.475 3.325 0.023964848108760678
-7.475 3.375 0.04643527476791311
-7.475 3.425 0.08701361536236157
-7.475 3.475 0.15636473937330753
-7.475 3.525 0.26775294556648876
-7.475 3.575 0.43682323165587233
-7.475 3.625 0.6880087277005109
-7.475 3.675 1.083545537612381
-7.475 3.725 1.800928993643016
-7.475 3.775 3.2683457063684
-7.475 3.825 5.962648387434462
-7.475 3.875 0
-7.475 3.925 0
-7.475 3.975 0
-7.425 -1.975 0.0
-7.425 -1.925 0.0
-7.425 -1.875 0.0
-7.425 -1.825 0.0
-7.425 -1.775 0.0
-7.425 -1.725 0.0
-7.425 -1.675 0.0
-7.425 -1.625 0.0
-7.425 -1.575 0.0
-7.425 -1.525 0.0
-7.425 -1.475 0.0
-7.425 -1.425 0.0
-7.425 -1.375 0.0
-7.425 -1.325 0.0
-7.425 -1.275 0.0
-7.425 -1.225 0.0
-7.425 -1.175 0.0
-7.425 -1.125 0.0
-7.425 -1.075 0.0
-7.425 -1.025 0.0
-7.425 -0.975 0.0
-7.425 -0.925 0.0
-7.425 -0.875 0.0
-7.425 -0.825 0.0
-7.425 -0.775 0.0
-7.425 -0.725 0.0
-7.425 -0.675 0.0
-7.425 -0.625 0.0
-7.425 -0.575 0.0
-7.425 -0.525 0.0
-7.425 -0.475 0.0
-7.425 -0.425 0.0
-7.425 -0.375 0.0
-7.425 -0.325 0.0
-7.425 -0.275 0.0
-7.425 -0.225 0.0
-7.425 -0.175 0.0
-7.425 -0.125 0.0
-7.425 -0.075 0.0
-7.425 -0.025 0.0
-7.425 0.025 0.0
-7.425 0.075 0.0
-7.425 0.125 0.0
-7.425 0.175 0.0
-7.425 0.225 0.0
-7.425 0.275 0.0
-7.425 0.325 0.0
-7.425 0.375 0.0
-7.425 0.425 0.0
-7.425 0.475 0.0
-7.425 0.525 0.0
-7.425 0.575 0.0
-7.425 0.625 0.0
-7.425 0.675 0.0
-7.425 0.725 0.0
-7.425 0.775 0.0
-7.425 0.825 0.0
-7.425 0.875 3.180629634025643e-17
-7.425 0.925 6.349552490366105e-17
-7.425 0.975 1.267655168686795e-16
-7.425 1.025 2.5309906478482037e-16
-7.425 1.075 5.053766269444554e-16
-7.425 1.125 1.0092046303156675e-15
-7.425 1.175 2.0155221081231596e-15
-7.425 1.225 4.025737950036506e-15
-7.425 1.275 8.041906800482414e-15
-7.425 1.325 1.606700318233193e-14
-7.425 1.375 3.210558185532064e-14
-7.425 1.425 6.416592150209664e-14
-7.425 1.475 1.282672990954175e-13
-7.425 1.525 2.564635177565877e-13
-7.425 1.575 5.129146581443233e-13
-7.425 1.625 1.0260950851682243e-12
-7.425 1.675 2.0533723850507557e-12
-7.425 1.725 4.110567239333682e-12
-7.425 1.775 8.232048249579411e-12
-7.425 1.825 1.6493256264116277e-11
-7.425 1.875 3.306128711669569e-11
-7.425 1.925 6.630907090409658e-11
-7.425 1.975 1.3307413793435498e-10
-7.425 2.025 2.6724682922345274e-10
-7.425 2.075 5.371102979579606e-10
-7.425 2.125 1.0803977576406835e-09
-7.425 2.175 2.175274360907126e-09
-7.425 2.225 4.384290172875237e-09
-7.425 2.275 8.84683786238476e-09
-7.425 2.325 1.7874462328757257e-08
-7.425 2.375 3.6165170455183344e-08
-7.425 2.425 7.328594174543751e-08
-7.425 2.475 1.4876008624538744e-07
-7.425 2.525 3.0251900533655046e-07
-7.425 2.575 6.164312553643704e-07
-7.425 2.625 1.2587676867239684e-06
-7.425 2.675 2.576280235174834e-06
-7.425 2.725 5.285355256441557e-06
-7.425 2.775 1.0869709626309056e-05
-7.425 2.825 2.2409152745787347e-05
-7.425 2.875 4.63079413778737e-05
-7.425 2.925 9.58969886808582e-05
-7.425 2.975 0.00019892164092036625
-7.425 3.025 0.0004130185567110549
-7.425 3.075 0.0008573868405970696
-7.425 3.125 0.0017765461700883038
-7.425 3.175 0.0036654408610882878
-7.425 3.225 0.007505438686969012
-7.425 3.275 0.015183491004885807
-7.425 3.325 0.030169956175949683
-7.425 3.375 0.05845854718186649
-7.425 3.425 0.10954365105580509
-7.425 3.475 0.1968515429056249
-7.425 3.525 0.3370809854389337
-7.425 3.575 0.5499278638939312
-7.425 3.625 0.8661516668289866
-7.425 3.675 1.3641030068220257
-7.425 3.725 2.2672352644043445
-7.425 3.775 4.114603427515555
-7.425 3.825 7.50652944847565
-7.425 3.875 0
-7.425 3.925 0
-7.425 3.975 0
-7.375 -1.975 0.0
-7.375 -1.925 0.0
-7.375 -1.875 0.0
-7.375 -1.825 0.0
-7.375 -1.775 0.0
-7.375 -1.725 0.0
-7.375 -1.675 0.0
-7.375 -1.625 0.0
-7.375 -1.575 0.0
-7.375 -1.525 0.0
-7.375 -1.475 0.0
-7.375 -1.425 0.0
-7.375 -1.375 0.0
-7.375 -1.325 0.0
-7.375 -1.275 0.0
-7.375 -1.225 0.0
-7.375 -1.175 0.0
-7.375 -1.125 0.0
-7.375 -1.075 0.0
-7.375 -1.025 0.0
-7.375 -0.975 0.0
-7.375 -0.925 0.0
-7.375 -0.875 0.0
-7.375 -0.825 0.0
-7.375 -0.775 0.0
-7.375 -0.725 0.0
-7.375 -0.675 0.0
-7.375 -0.625 0.0
-7.375 -0.575 0.0
-7.375 -0.525 0.0
-7.375 -0.475 0.0
-7.375 -0.425 0.0
-7.375 -0.375 0.0
-7.375 -0.325 0.0
-7.375 -0.275 0.0
-7.375 -0.225 0.0
-7.375 -0.175 0.0
-7.375 -0.125 0.0
-7.375 -0.075 0.0
-7.375 -0.025 0.0
-7.375 0.025 0.0
-7.375 0.075 0.0
-7.375 0.125 0.0
-7.375 0.175 0.0
-7.375 0.225 0.0
-7.375 0.275 0.0
-7.375 0.325 0.0
-7.375 0.375 0.0
-7.375 0.425 0.0
-7.375 0.475 0.0
-7.375 0.525 0.0
-7.375 0.575 0.0
-7.375 0.625 0.0
-7.375 0.675 0.0
-7.375 0.725 0.0
-7.375 0.775 0.0
-7.375 0.825 0.0
-7.375 0.875 4.0041754717802635e-17
-7.375 0.925 7.993612983642316e-17
-7.375 0.975 1.5958833052519014e-16
-7.375 1.025 3.1863284435891675e-16
-7.375 1.075 6.362314781871163e-16
-7.375 1.125 1.2705133548045317e-15
-7.375 1.175 2.537391999948692e-15
-7.375 1.225 5.068103806523854e-15
-7.375 1.275 1.0124160830404456e-14
-7.375 1.325 2.0227158597607435e-14
-7.375 1.375 4.0418532858080754e-14
-7.375 1.425 8.07801091501286e-14
-7.375 1.475 1.614789623332967e-13
-7.375 1.525 3.228684397015723e-13
-7.375 1.575 6.457212972187993e-13
-7.375 1.625 1.2917771776333428e-12
-7.375 1.675 2.585042675411664e-12
-7.375 1.725 5.17489755447283e-12
-7.375 1.775 1.0363534732478564e-11
-7.375 1.825 2.0763779434046885e-11
-7.375 1.875 4.162169449762308e-11
-7.375 1.925 8.347817439310202e-11
-7.375 1.975 1.675304138968299e-10
-7.375 2.025 3.364438245274479e-10
-7.375 2.075 6.761818030270655e-10
-7.375 2.125 1.3601401919176022e-09
