# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0
-7.475 -1.925 0.0
-7.475 -1.875 0.0
-7.475 -1.825 0.0
-7.475 -1.775 0.0
-7.475 -1.725 0.0
-7.475 -1.675 0.0
-7.475 -1.625 0.0
-7.475 -1.575 0.0
-7.475 -1.525 0.0
-7.475 -1.475 0.0
-7.475 -1.425 0.0
-7.475 -1.375 0.0
-7.475 -1.325 0.0
-7.475 -1.275 0.0
-7.475 -1.225 0.0
-7.475 -1.175 0.0
-7.475 -1.125 0.0
-7.475 -1.075 0.0
-7.475 -1.025 0.0
-7.475 -0.975 0.0
-7.475 -0.925 0.0
-7.475 -0.875 0.0
-7.475 -0.825 0.0
-7.475 -0.775 0.0
-7.475 -0.725 0.0
-7.475 -0.675 0.0
-7.475 -0.625 0.0
-7.475 -0.575 0.0
-7.475 -0.525 0.0
-7.475 -0.475 0.0
-7.475 -0.425 0.0
-7.475 -0.375 0.0
-7.475 -0.325 0.0
-7.475 -0.275 0.0
-7.475 -0.225 0.0
-7.475 -0.175 0.0
-7.475 -0.125 0.0
-7.475 -0.075 0.0
-7.475 -0.025 0.0
-7.475 0.025 0.0
-7.475 0.075 0.0
-7.475 0.125 0.0
-7.475 0.175 0.0
-7.475 0.225 0.0
-7.475 0.275 0.0
-7.475 0.325 0.0
-7.475 0.375 0.0
-7.475 0.425 0.0
-7.475 0.475 0.0
-7.475 0.525 0.0
-7.475 0.575 0.0
-7.475 0.625 0.0
-7.475 0.675 0.0
-7.475 0.725 1.6779747464479408e-14
-7.475 0.775 3.3492021051635086e-14
-7.475 0.825 6.685223958586633e-14
-7.475 0.875 1.3344780114226988e-13
-7.475 0.925 2.6639751377912696e-13
-7.475 0.975 5.318325209847813e-13
-7.475 1.025 1.0618143145978247e-12
-7.475 1.075 2.120091105108956e-12
-7.475 1.125 4.233468929133146e-12
-7.475 1.175 8.454309519356991e-12
-7.475 1.225 1.688512292516174e-11
-7.475 1.275 3.3727134311853847e-11
-7.475 1.325 6.73765919064083e-11
-7.475 1.375 1.3461662962285887e-10
-7.475 1.425 2.6900144029710136e-10
-7.475 1.475 5.376297543083254e-10
-7.475 1.525 1.0747111952503673e-09
-7.475 1.575 2.1487573564106492e-09
-7.475 1.625 4.297122264092921e-09
-7.475 1.675 8.595487352441307e-09
-7.475 1.725 1.7197820812276577e-08
-7.475 1.775 3.441864410176933e-08
-7.475 1.825 6.890299220054121e-08
-7.475 1.875 1.379785836200885e-07
-7.475 1.925 2.76387157464042e-07
-7.475 1.975 5.538051227163453e-07
-7.475 2.025 1.110005562277415e-06
-7.475 2.075 2.225423568589581e-06
-7.475 2.125 4.462741716445264e-06
-7.475 2.175 8.950837046115376e-06
-7.475 2.225 1.795374545350571e-05
-7.475 2.275 3.600918726815545e-05
-7.475 2.325 7.22021776582859e-05
-7.475 2.375 0.00014469205096002318
-7.475 2.425 0.00028968910350466066
-7.475 2.475 0.0005791530292590556
-7.475 2.525 0.0011554168425689838
-7.475 2.575 0.0022982153700610887
-7.475 2.625 0.004552635752188105
-7.475 2.675 0.00896883817203939
-7.475 2.725 0.01754018635820033
-7.475 2.775 0.03397814437316872
-7.475 2.825 0.06502435352111041
-7.475 2.875 0.12254640809273865
-7.475 2.925 0.2266292052648267
-7.475 2.975 0.40964512158445016
-7.475 3.025 0.7207335912949827
-7.475 3.075 1.2292129889123853
-7.475 3.125 2.024442121169497
-7.475 3.175 3.2091926498016714
-7.475 3.225 4.88448098604871
-7.475 3.275 7.12639844083165
-7.475 3.325 9.959450952868371
-7.475 3.375 13.336211075966638
-7.475 3.425 17.14170353524525
-7.475 3.475 21.257668116769715
-7.475 3.525 25.751066030203326
-7.475 3.575 31.286727744183032
-7.475 3.625 39.86799852031848
-7.475 3.675 55.88358490172846
-7.475 3.725 87.01754531057051
-7.475 3.775 143.58634264083352
-7.475 3.825 229.75172669648572
-7.475 3.875 0
-7.475 3.925 0
-7.475 3.975 0
-7.425 -1.975 0.0
-7.425 -1.925 0.0
-7.425 -1.875 0.0
-7.425 -1.825 0.0
-7.425 -1.775 0.0
-7.425 -1.725 0.0
-7.425 -1.675 0.0
-7.425 -1.625 0.0
-7.425 -1.575 0.0
-7.425 -1.525 0.0
-7.425 -1.475 0.0
-7.425 -1.425 0.0
-7.425 -1.375 0.0
-7.425 -1.325 0.0
-7.425 -1.275 0.0
-7.425 -1.225 0.0
-7.425 -1.175 0.0
-7.425 -1.125 0.0
-7.425 -1.075 0.0
-7.425 -1.025 0.0
-7.425 -0.975 0.0
-7.425 -0.925 0.0
-7.425 -0.875 0.0
-7.425 -0.825 0.0
-7.425 -0.775 0.0
-7.425 -0.725 0.0
-7.425 -0.675 0.0
-7.425 -0.625 0.0
-7.425 -0.575 0.0
-7.425 -0.525 0.0
-7.425 -0.475 0.0
-7.425 -0.425 0.0
-7.425 -0.375 0.0
-7.425 -0.325 0.0
-7.425 -0.275 0.0
-7.425 -0.225 0.0
-7.425 -0.175 0.0
-7.425 -0.125 0.0
-7.425 -0.075 0.0
-7.425 -0.025 0.0
-7.425 0.025 0.0
-7.425 0.075 0.0
-7.425 0.125 0.0
-7.425 0.175 0.0
-7.425 0.225 0.0
-7.425 0.275 0.0
-7.425 0.325 0.0
-7.425 0.375 0.0
-7.425 0.425 0.0
-7.425 0.475 0.0
-7.425 0.525 0.0
-7.425 0.575 0.0
-7.425 0.625 0.0
-7.425 0.675 0.0
-7.425 0.725 2.112445048652096e-14
-7.425 0.775 4.216395639424633e-14
-7.425 0.825 8.416198324999333e-14
-7.425 0.875 1.680008280060438e-13
-7.425 0.925 3.3537459973529316e-13
-7.425 0.975 6.695374754862047e-13
-7.425 1.025 1.336745023253779e-12
-7.425 1.075 2.6690365675398702e-12
-7.425 1.125 5.32962161492531e-12
-7.425 1.175 1.0643345093088226e-11
-7.425 1.225 2.125711033174525e-11
-7.425 1.275 4.2459946452164875e-11
-7.425 1.325 8.482210371100497e-11
-7.425 1.375 1.6947229588215545e-10
-7.425 1.425 3.3865274899888746e-10
-7.425 1.475 6.768357598344872e-10
-7.425 1.525 1.3529812340380585e-09
-7.425 1.575 2.705125239759203e-09
-7.425 1.625 5.409756415838408e-09
-7.425 1.675 1.0821077454706792e-08
-7.425 1.725 2.1650773647964485e-08
-7.425 1.775 4.33305056989821e-08
-7.425 1.825 8.674372782932452e-08
-7.425 1.875 1.737047452012022e-07
-7.425 1.925 3.479508160212686e-07
-7.425 1.975 6.971993421598771e-07
-7.425 2.025 1.397414209559875e-06
-7.425 2.075 2.801642282442363e-06
-7.425 2.125 5.618258952953444e-06
-7.425 2.175 1.1268436213795606e-05
-7.425 2.225 2.260242638732277e-05
-7.425 2.275 4.533288090746143e-05
-7.425 2.325 9.0897156234646e-05
-7.425 2.375 0.0001821564998224338
-7.425 2.425 0.0003646969738822109
-7.425 2.475 0.0007291104657521076
-7.425 2.525 0.001454583624075416
-7.425 2.575 0.002893281730523389
-7.425 2.625 0.0057314288375297255
-7.425 2.675 0.011291098285257992
-7.425 2.725 0.02208178632472024
-7.425 2.775 0.04277594937486168
-7.425 2.825 0.08186081098102216
-7.425 2.875 0.15427678715160134
-7.425 2.925 0.2853092652919169
-7.425 2.975 0.5157126527908834
-7.425 3.025 0.9073498319790716
-7.425 3.075 1.5474874657660633
-7.425 3.125 2.548621626290664
-7.425 3.175 4.040134169535065
-7.425 3.225 6.149197221922877
-7.425 3.275 8.97160406778299
-7.425 3.325 12.538205856011325
-7.425 3.375 16.789294970572335
-7.425 3.425 21.580126119907074
-7.425 3.475 26.76181852320333
-7.425 3.525 32.41867136085279
-7.425 3.575 39.38765661473429
-7.425 3.625 50.190836529271714
-7.425 3.675 70.35326520094114
-7.425 3.725 109.54859876496057
-7.425 3.775 180.76449395703486
-7.425 3.825 289.24028267081286
-7.425 3.875 0
-7.425 3.925 0
-7.425 3.975 0
-7.375 -1.975 0.0
-7.375 -1.925 0.0
-7.375 -1.875 0.0
-7.375 -1.825 0.0
-7.375 -1.775 0.0
-7.375 -1.725 0.0
-7.375 -1.675 0.0
-7.375 -1.625 0.0
-7.375 -1.575 0.0
-7.375 -1.525 0.0
-7.375 -1.475 0.0
-7.375 -1.425 0.0
-7.375 -1.375 0.0
-7.375 -1.325 0.0
-7.375 -1.275 0.0
-7.375 -1.225 0.0
-7.375 -1.175 0.0
-7.375 -1.125 0.0
-7.375 -1.075 0.0
-7.375 -1.025 0.0
-7.375 -0.975 0.0
-7.375 -0.925 0.0
-7.375 -0.875 0.0
-7.375 -0.825 0.0
-7.375 -0.775 0.0
-7.375 -0.725 0.0
-7.375 -0.675 0.0
-7.375 -0.625 0.0
-7.375 -0.575 0.0
-7.375 -0.525 0.0
-7.375 -0.475 0.0
-7.375 -0.425 0.0
-7.375 -0.375 0.0
-7.375 -0.325 0.0
-7.375 -0.275 0.0
-7.375 -0.225 0.0
-7.375 -0.175 0.0
-7.375 -0.125 0.0
-7.375 -0.075 0.0
-7.375 -0.025 0.0
-7.375 0.025 0.0
-7.375 0.075 0.0
-7.375 0.125 0.0
-7.375 0.175 0.0
-7.375 0.225 0.0
-7.375 0.275 0.0
-7.375 0.325 0.0
-7.375 0.375 0.0
-7.375 0.425 0.0
-7.375 0.475 0.0
-7.375 0.525 0.0
-7.375 0.575 0.0
-7.375 0.625 0.0
-7.375 0.675 0.0
-7.375 0.725 2.6594107527667443e-14
-7.375 0.775 5.308127616649423e-14
-7.375 0.825 1.0595365942040256e-13
-7.375 0.875 2.115005115792468e-13
-7.375 0.925 4.222116060770005e-13
-7.375 0.975 8.428977420379528e-13
-7.375 1.025 1.6828622788632055e-12
-7.375 1.075 3.3601179598829084e-12
-7.375 1.125 6.709596086274658e-12
-7.375 1.175 1.3399177604177773e-11
-7.375 1.225 2.6761116377931996e-11
-7.375 1.275 5.3453905572013604e-11
-7.375 1.325 1.0678470184353308e-10
-7.375 1.375 2.133529798809158e-10
-7.375 1.425 4.263385514880731e-10
-7.375 1.475 8.520857376651948e-10
-7.375 1.525 1.7033024572074779e-09
-7.375 1.575 3.4055509064094205e-09
-7.375 1.625 6.8104798234922605e-09
-7.375 1.675 1.3622929390664768e-08
-7.375 1.725 2.7256709130278406e-08
-7.375 1.775 5.4549874729968476e-08
-7.375 1.825 1.092038832771553e-07
-7.375 1.875 2.18681317880657e-07
-7.375 1.925 4.380441243377174e-07
-7.375 1.975 8.777219689161626e-07
-7.375 2.025 1.7592402591790923e-06
-7.375 2.075 3.527058664027468e-06
-7.375 2.125 7.072968965670029e-06
-7.375 2.175 1.418612070011452e-05
