# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0
-7.475 -1.925 0.0
-7.475 -1.875 0.0
-7.475 -1.825 0.0
-7.475 -1.775 0.0
-7.475 -1.725 0.0
-7.475 -1.675 0.0
-7.475 -1.625 0.0
-7.475 -1.575 0.0
-7.475 -1.525 0.0
-7.475 -1.475 0.0
-7.475 -1.425 0.0
-7.475 -1.375 0.0
-7.475 -1.325 0.0
-7.475 -1.275 0.0
-7.475 -1.225 0.0
-7.475 -1.175 0.0
-7.475 -1.125 0.0
-7.475 -1.075 0.0
-7.475 -1.025 0.0
-7.475 -0.975 0.0
-7.475 -0.925 0.0
-7.475 -0.875 0.0
-7.475 -0.825 0.0
-7.475 -0.775 0.0
-7.475 -0.725 0.0
-7.475 -0.675 0.0
-7.475 -0.625 0.0
-7.475 -0.575 0.0
-7.475 -0.525 0.0
-7.475 -0.475 0.0
-7.475 -0.425 0.0
-7.475 -0.375 0.0
-7.475 -0.325 3.131684664471209e-08
-7.475 -0.275 4.1179553306589956e-08
-7.475 -0.225 5.3878883001069334e-08
-7.475 -0.175 7.015668143130092e-08
-7.475 -0.125 9.093881845695283e-08
-7.475 -0.075 1.1738306708374516e-07
-7.475 -0.025 1.509401503937504e-07
-7.475 0.025 1.9343115212899708e-07
-7.475 0.075 2.4714523513963943e-07
-7.475 0.125 3.149626380423348e-07
-7.475 0.175 4.0050927663253085e-07
-7.475 0.225 5.083510118517075e-07
-7.475 0.275 6.442378245484335e-07
-7.475 0.325 8.154108536640677e-07
-7.475 0.375 1.0309886433735178e-06
-7.475 0.425 1.3024531855525678e-06
-7.475 0.475 1.6442616663266523e-06
-7.475 0.525 2.0746165177393523e-06
-7.475 0.575 2.6164347981856326e-06
-7.475 0.625 3.29856852916708e-06
-7.475 0.675 4.157340966731533e-06
-7.475 0.725 5.238480594226827e-06
-7.475 0.775 6.5995557823126375e-06
-7.475 0.825 8.313039696717398e-06
-7.475 0.875 1.0470168558400266e-05
-7.475 0.925 1.3185798553977233e-05
-7.475 0.975 1.6604519794723498e-05
-7.475 1.025 2.0908352544979548e-05
-7.475 1.075 2.6326435024400578e-05
-7.475 1.125 3.3147217881502296e-05
-7.475 1.175 4.1733813527534185e-05
-7.475 1.225 5.254331592936654e-05
-7.475 1.275 6.615111699891118e-05
-7.475 1.325 8.32815104369379e-05
-7.475 1.375 0.00010484620664286187
-7.475 1.425 0.00013199280043087216
-7.475 1.475 0.00016616575847800316
-7.475 1.525 0.0002091831527316518
-7.475 1.575 0.00026333319312194685
-7.475 1.625 0.0003314956497077162
-7.475 1.675 0.0004172945526156104
-7.475 1.725 0.0005252901815801745
-7.475 1.775 0.0006612203836054082
-7.475 1.825 0.0008323037819784346
-7.475 1.875 0.0010476205762772514
-7.475 1.925 0.001318590515493124
-7.475 1.975 0.0016595724102157106
-7.475 2.025 0.0020886154085548955
-7.475 2.075 0.0026283993778901575
-7.475 2.125 0.003307410287192627
-7.475 2.175 0.004161406608227805
-7.475 2.225 0.005235244482744901
-7.475 2.275 0.006585142565519947
-7.475 2.325 0.008281481498598071
-7.475 2.375 0.010412246684399142
-7.475 2.425 0.013087234069654397
-7.475 2.475 0.016443142866144286
-7.475 2.525 0.02064966945377535
-7.475 2.575 0.02591668160010731
-7.475 2.625 0.03250247340462596
-7.475 2.675 0.040722951458422516
-7.475 2.725 0.05096134175754013
-7.475 2.775 0.06367758128893895
-7.475 2.825 0.07941590402807262
-7.475 2.875 0.0988081908851644
-7.475 2.925 0.12256942165777546
-7.475 2.975 0.15148019354930936
-7.475 3.025 0.18635025638378688
-7.475 3.075 0.2279575343325788
-7.475 3.125 0.2769613997978834
-7.475 3.175 0.3338004760831632
-7.475 3.225 0.39860748814295616
-7.475 3.275 0.47120587124019686
-7.475 3.325 0.5512799080813882
-7.475 3.375 0.6387888669675875
-7.475 3.425 0.734553890138607
-7.475 3.475 0.8406381115219754
-7.475 3.525 0.959791215429288
-7.475 3.575 1.0932720193556966
-7.475 3.625 1.237303405503529
-7.475 3.675 1.3799629723872824
-7.475 3.725 1.5005291601435966
-7.475 3.775 1.567720466393153
-7.475 3.825 1.446377248057305
-7.475 3.875 0.0
-7.475 3.925 0.0
-7.475 3.975 0.0
-7.425 -1.975 0.0
-7.425 -1.925 0.0
-7.425 -1.875 0.0
-7.425 -1.825 0.0
-7.425 -1.775 0.0
-7.425 -1.725 0.0
-7.425 -1.675 0.0
-7.425 -1.625 0.0
-7.425 -1.575 0.0
-7.425 -1.525 0.0
-7.425 -1.475 0.0
-7.425 -1.425 0.0
-7.425 -1.375 0.0
-7.425 -1.325 0.0
-7.425 -1.275 0.0
-7.425 -1.225 0.0
-7.425 -1.175 0.0
-7.425 -1.125 0.0
-7.425 -1.075 0.0
-7.425 -1.025 0.0
-7.425 -0.975 0.0
-7.425 -0.925 0.0
-7.425 -0.875 0.0
-7.425 -0.825 0.0
-7.425 -0.775 0.0
-7.425 -0.725 0.0
-7.425 -0.675 0.0
-7.425 -0.625 0.0
-7.425 -0.575 0.0
-7.425 -0.525 0.0
-7.425 -0.475 0.0
-7.425 -0.425 0.0
-7.425 -0.375 0.0
-7.425 -0.325 3.942557405828893e-08
-7.425 -0.275 5.184198610399857e-08
-7.425 -0.225 6.782949496913088e-08
-7.425 -0.175 8.832202906101267e-08
-7.425 -0.125 1.144851894739942e-07
-7.425 -0.075 1.4777652606606607e-07
-7.425 -0.025 1.9002239099072543e-07
-7.425 0.025 2.4351539284781747e-07
-7.425 0.075 3.111374169211362e-07
-7.425 0.125 3.9651446879722286e-07
-7.425 0.175 5.042113060119918e-07
-7.425 0.225 6.399760069313909e-07
-7.425 0.275 8.110473685630125e-07
-7.425 0.325 1.026541444730466e-06
-7.425 0.375 1.2979378024141093e-06
-7.425 0.425 1.6396914129643812e-06
-7.425 0.475 2.0700027953776295e-06
-7.425 0.525 2.611787453909971e-06
-7.425 0.575 3.2938962557384e-06
-7.425 0.625 4.15265174391289e-06
-7.425 0.675 5.233782188511168e-06
-7.425 0.725 6.594856339262621e-06
-7.425 0.775 8.308348480906292e-06
-7.425 0.825 1.0465496923450856e-05
-7.425 0.875 1.3181161263937847e-05
-7.425 0.925 1.6599936874399852e-05
-7.425 0.975 2.0903851920215287e-05
-7.425 1.025 2.6322056337623812e-05
-7.425 1.075 3.314301805416244e-05
-7.425 1.125 4.1729874921295806e-05
-7.425 1.175 5.253975838088331e-05
-7.425 1.225 6.61481156433951e-05
-7.425 1.275 8.327932220847671e-05
-7.425 1.325 0.00010484520982162794
-7.425 1.375 0.00013199355387286677
-7.425 1.425 0.00016616909063621476
-7.425 1.475 0.0002091902959178734
-7.425 1.525 0.00026334598669288024
-7.425 1.575 0.0003315168485897759
-7.425 1.625 0.00041732829731571666
-7.425 1.675 0.0005253427164902054
-7.425 1.725 0.0006613011581558831
-7.425 1.775 0.0008324271437149615
-7.425 1.825 0.0010478083814615935
-7.425 1.875 0.0013188761653884099
-7.425 1.925 0.001660007107696382
-7.425 1.975 0.002089277879919275
-7.425 2.025 0.0026294110132727513
-7.425 2.075 0.003308958769135199
-7.425 2.125 0.004163782857721159
-7.425 2.175 0.005238900527818703
-7.425 2.225 0.006590782316143903
-7.425 2.275 0.008290203315799964
-7.425 2.325 0.010425767505538064
-7.425 2.375 0.013108241944303187
-7.425 2.425 0.01647585153950226
-7.425 2.475 0.02070069040254639
-7.425 2.525 0.025996393618275743
-7.425 2.575 0.03262716905220741
-7.425 2.625 0.040918189709614416
-7.425 2.675 0.05126715842532159
-7.425 2.725 0.06415652814349113
-7.425 2.775 0.08016532522370057
-7.425 2.825 0.09997869964583185
-7.425 2.875 0.12439214234220596
-7.425 2.925 0.15430575954454526
-7.425 2.975 0.1907022649018475
-7.425 3.025 0.2346010730343714
-7.425 3.075 0.28698153243396596
-7.425 3.125 0.34867374374927107
-7.425 3.175 0.4202299009661656
-7.425 3.225 0.5018170948460922
-7.425 3.275 0.5932130434677084
-7.425 3.325 0.6940202821728749
-7.425 3.375 0.8041875325852756
-7.425 3.425 0.9247485512377488
-7.425 3.475 1.0583006694713828
-7.425 3.525 1.2083055343582023
-7.425 3.575 1.376347903114805
-7.425 3.625 1.5576726667413696
-7.425 3.675 1.7372704127301177
-7.425 3.725 1.8890542456406025
-7.425 3.775 1.9736430906370517
-7.425 3.825 1.820881042772179
-7.425 3.875 0.0
-7.425 3.925 0.0
-7.425 3.975 0.0
-7.375 -1.975 0.0
-7.375 -1.925 0.0
-7.375 -1.875 0.0
-7.375 -1.825 0.0
-7.375 -1.775 0.0
-7.375 -1.725 0.0
-7.375 -1.675 0.0
-7.375 -1.625 0.0
-7.375 -1.575 0.0
-7.375 -1.525 0.0
-7.375 -1.475 0.0
-7.375 -1.425 0.0
-7.375 -1.375 0.0
-7.375 -1.325 0.0
-7.375 -1.275 0.0
-7.375 -1.225 0.0
-7.375 -1.175 0.0
-7.375 -1.125 0.0
-7.375 -1.075 0.0
-7.375 -1.025 0.0
-7.375 -0.975 0.0
-7.375 -0.925 0.0
-7.375 -0.875 0.0
-7.375 -0.825 0.0
-7.375 -0.775 0.0
-7.375 -0.725 0.0
-7.375 -0.675 0.0
-7.375 -0.625 0.0
-7.375 -0.575 0.0
-7.375 -0.525 0.0
-7.375 -0.475 0.0
-7.375 -0.425 0.0
-7.375 -0.375 0.0
-7.375 -0.325 4.963385705655278e-08
-7.375 -0.275 6.526519370420382e-08
-7.375 -0.225 8.539227488580341e-08
-7.375 -0.175 1.1119084680613165e-07
-7.375 -0.125 1.441283143028812e-07
-7.375 -0.075 1.8603962393123342e-07
-7.375 -0.025 2.392240168281108e-07
-7.375 0.025 3.065677162191564e-07
-7.375 0.075 3.9169880072201415e-07
-7.375 0.125 4.991821409128877e-07
-7.375 0.175 6.347644260524199e-07
-7.375 0.225 8.056820580644854e-07
-7.375 0.275 1.021048142452762e-06
-7.375 0.325 1.2923391110310747e-06
-7.375 0.375 1.634006882387389e-06
-7.375 0.425 2.064249187281528e-06
-7.375 0.475 2.605979121585836e-06
-7.375 0.525 3.2880455959324147e-06
-7.375 0.575 4.146769700162673e-06
-7.375 0.625 5.227878806743211e-06
-7.375 0.675 6.588941396912259e-06
-7.375 0.725 8.302432232629347e-06
-7.375 0.775 1.0459591032654046e-05
-7.375 0.825 1.3175280023985416e-05
-7.375 0.875 1.6594098872127405e-05
-7.375 0.925 2.0898082365359635e-05
-7.375 0.975 2.6316390386739154e-05
-7.375 1.025 3.313750561410889e-05
-7.375 1.075 4.1724587651932516e-05
-7.375 1.125 5.253479996940278e-05
-7.375 1.175 6.614363695520587e-05
