# This file contains the cross section for MCPs with epsilon=1 into the FORWARD hemisphere only
#  log10(theta)    log10(p/GeV)     cross-section[pb/bin] 
-4.97428e+00 -9.74281e-01 0.00000e+00
-4.97428e+00 -9.24281e-01 0.00000e+00
-4.97428e+00 -8.74281e-01 0.00000e+00
-4.97428e+00 -8.24281e-01 0.00000e+00
-4.97428e+00 -7.74281e-01 0.00000e+00
-4.97428e+00 -7.24281e-01 0.00000e+00
-4.97428e+00 -6.74281e-01 0.00000e+00
-4.97428e+00 -6.24281e-01 0.00000e+00
-4.97428e+00 -5.74281e-01 0.00000e+00
-4.97428e+00 -5.24281e-01 0.00000e+00
-4.97428e+00 -4.74281e-01 0.00000e+00
-4.97428e+00 -4.24281e-01 0.00000e+00
-4.97428e+00 -3.74281e-01 0.00000e+00
-4.97428e+00 -3.24281e-01 0.00000e+00
-4.97428e+00 -2.74281e-01 0.00000e+00
-4.97428e+00 -2.24281e-01 0.00000e+00
-4.97428e+00 -1.74281e-01 0.00000e+00
-4.97428e+00 -1.24281e-01 0.00000e+00
-4.97428e+00 -7.42808e-02 0.00000e+00
-4.97428e+00 -2.42808e-02 0.00000e+00
-4.97428e+00 2.57192e-02 0.00000e+00
-4.97428e+00 7.57192e-02 0.00000e+00
-4.97428e+00 1.25719e-01 0.00000e+00
-4.97428e+00 1.75719e-01 0.00000e+00
-4.97428e+00 2.25719e-01 0.00000e+00
-4.97428e+00 2.75719e-01 0.00000e+00
-4.97428e+00 3.25719e-01 0.00000e+00
-4.97428e+00 3.75719e-01 0.00000e+00
-4.97428e+00 4.25719e-01 0.00000e+00
-4.97428e+00 4.75719e-01 0.00000e+00
-4.97428e+00 5.25719e-01 0.00000e+00
-4.97428e+00 5.75719e-01 0.00000e+00
-4.97428e+00 6.25719e-01 0.00000e+00
-4.97428e+00 6.75719e-01 0.00000e+00
-4.97428e+00 7.25719e-01 0.00000e+00
-4.97428e+00 7.75719e-01 0.00000e+00
-4.97428e+00 8.25719e-01 0.00000e+00
-4.97428e+00 8.75719e-01 0.00000e+00
-4.97428e+00 9.25719e-01 0.00000e+00
-4.97428e+00 9.75719e-01 0.00000e+00
-4.97428e+00 1.02572e+00 0.00000e+00
-4.97428e+00 1.07572e+00 0.00000e+00
-4.97428e+00 1.12572e+00 0.00000e+00
-4.97428e+00 1.17572e+00 0.00000e+00
-4.97428e+00 1.22572e+00 0.00000e+00
-4.97428e+00 1.27572e+00 0.00000e+00
-4.97428e+00 1.32572e+00 0.00000e+00
-4.97428e+00 1.37572e+00 0.00000e+00
-4.97428e+00 1.42572e+00 0.00000e+00
-4.97428e+00 1.47572e+00 0.00000e+00
-4.97428e+00 1.52572e+00 0.00000e+00
-4.97428e+00 1.57572e+00 0.00000e+00
-4.97428e+00 1.62572e+00 0.00000e+00
-4.97428e+00 1.67572e+00 0.00000e+00
-4.97428e+00 1.72572e+00 0.00000e+00
-4.97428e+00 1.77572e+00 0.00000e+00
-4.97428e+00 1.82572e+00 0.00000e+00
-4.97428e+00 1.87572e+00 0.00000e+00
-4.97428e+00 1.92572e+00 0.00000e+00
-4.97428e+00 1.97572e+00 0.00000e+00
-4.97428e+00 2.02572e+00 0.00000e+00
-4.97428e+00 2.07572e+00 0.00000e+00
-4.97428e+00 2.12572e+00 0.00000e+00
-4.97428e+00 2.17572e+00 0.00000e+00
-4.97428e+00 2.22572e+00 0.00000e+00
-4.97428e+00 2.27572e+00 0.00000e+00
-4.97428e+00 2.32572e+00 0.00000e+00
-4.97428e+00 2.37572e+00 0.00000e+00
-4.97428e+00 2.42572e+00 0.00000e+00
-4.97428e+00 2.47572e+00 0.00000e+00
-4.97428e+00 2.52572e+00 0.00000e+00
-4.97428e+00 2.57572e+00 0.00000e+00
-4.97428e+00 2.62572e+00 0.00000e+00
-4.97428e+00 2.67572e+00 0.00000e+00
-4.97428e+00 2.72572e+00 0.00000e+00
-4.97428e+00 2.77572e+00 0.00000e+00
-4.97428e+00 2.82572e+00 0.00000e+00
-4.97428e+00 2.87572e+00 0.00000e+00
-4.97428e+00 2.92572e+00 0.00000e+00
-4.97428e+00 2.97572e+00 0.00000e+00
-4.97428e+00 3.02572e+00 0.00000e+00
-4.97428e+00 3.07572e+00 0.00000e+00
-4.97428e+00 3.12572e+00 1.23304e+00
-4.97428e+00 3.17572e+00 1.23304e+00
-4.97428e+00 3.22572e+00 0.00000e+00
-4.97428e+00 3.27572e+00 0.00000e+00
-4.97428e+00 3.32572e+00 0.00000e+00
-4.97428e+00 3.37572e+00 0.00000e+00
-4.97428e+00 3.42572e+00 1.23304e+00
-4.97428e+00 3.47572e+00 0.00000e+00
-4.97428e+00 3.52572e+00 3.69912e+00
-4.97428e+00 3.57572e+00 0.00000e+00
-4.97428e+00 3.62572e+00 0.00000e+00
-4.97428e+00 3.67572e+00 0.00000e+00
-4.97428e+00 3.72572e+00 0.00000e+00
-4.97428e+00 3.77572e+00 0.00000e+00
-4.97428e+00 3.82572e+00 0.00000e+00
-4.97428e+00 3.87572e+00 0.00000e+00
-4.97428e+00 3.92572e+00 0.00000e+00
-4.97428e+00 3.97572e+00 0.00000e+00
-4.92428e+00 -9.74281e-01 0.00000e+00
-4.92428e+00 -9.24281e-01 0.00000e+00
-4.92428e+00 -8.74281e-01 0.00000e+00
-4.92428e+00 -8.24281e-01 0.00000e+00
-4.92428e+00 -7.74281e-01 0.00000e+00
-4.92428e+00 -7.24281e-01 0.00000e+00
-4.92428e+00 -6.74281e-01 0.00000e+00
-4.92428e+00 -6.24281e-01 0.00000e+00
-4.92428e+00 -5.74281e-01 0.00000e+00
-4.92428e+00 -5.24281e-01 0.00000e+00
-4.92428e+00 -4.74281e-01 0.00000e+00
-4.92428e+00 -4.24281e-01 0.00000e+00
-4.92428e+00 -3.74281e-01 0.00000e+00
-4.92428e+00 -3.24281e-01 0.00000e+00
-4.92428e+00 -2.74281e-01 0.00000e+00
-4.92428e+00 -2.24281e-01 0.00000e+00
-4.92428e+00 -1.74281e-01 0.00000e+00
-4.92428e+00 -1.24281e-01 0.00000e+00
-4.92428e+00 -7.42808e-02 0.00000e+00
-4.92428e+00 -2.42808e-02 0.00000e+00
-4.92428e+00 2.57192e-02 0.00000e+00
-4.92428e+00 7.57192e-02 0.00000e+00
-4.92428e+00 1.25719e-01 0.00000e+00
-4.92428e+00 1.75719e-01 0.00000e+00
-4.92428e+00 2.25719e-01 0.00000e+00
-4.92428e+00 2.75719e-01 0.00000e+00
-4.92428e+00 3.25719e-01 0.00000e+00
-4.92428e+00 3.75719e-01 0.00000e+00
-4.92428e+00 4.25719e-01 0.00000e+00
-4.92428e+00 4.75719e-01 0.00000e+00
-4.92428e+00 5.25719e-01 0.00000e+00
-4.92428e+00 5.75719e-01 0.00000e+00
-4.92428e+00 6.25719e-01 0.00000e+00
-4.92428e+00 6.75719e-01 0.00000e+00
-4.92428e+00 7.25719e-01 0.00000e+00
-4.92428e+00 7.75719e-01 0.00000e+00
-4.92428e+00 8.25719e-01 0.00000e+00
-4.92428e+00 8.75719e-01 0.00000e+00
-4.92428e+00 9.25719e-01 0.00000e+00
-4.92428e+00 9.75719e-01 0.00000e+00
-4.92428e+00 1.02572e+00 0.00000e+00
-4.92428e+00 1.07572e+00 0.00000e+00
-4.92428e+00 1.12572e+00 0.00000e+00
-4.92428e+00 1.17572e+00 0.00000e+00
-4.92428e+00 1.22572e+00 0.00000e+00
-4.92428e+00 1.27572e+00 0.00000e+00
-4.92428e+00 1.32572e+00 0.00000e+00
-4.92428e+00 1.37572e+00 0.00000e+00
-4.92428e+00 1.42572e+00 0.00000e+00
-4.92428e+00 1.47572e+00 0.00000e+00
-4.92428e+00 1.52572e+00 0.00000e+00
-4.92428e+00 1.57572e+00 0.00000e+00
-4.92428e+00 1.62572e+00 0.00000e+00
-4.92428e+00 1.67572e+00 0.00000e+00
-4.92428e+00 1.72572e+00 0.00000e+00
-4.92428e+00 1.77572e+00 0.00000e+00
-4.92428e+00 1.82572e+00 0.00000e+00
-4.92428e+00 1.87572e+00 0.00000e+00
-4.92428e+00 1.92572e+00 0.00000e+00
-4.92428e+00 1.97572e+00 0.00000e+00
-4.92428e+00 2.02572e+00 0.00000e+00
-4.92428e+00 2.07572e+00 0.00000e+00
-4.92428e+00 2.12572e+00 0.00000e+00
