# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0
-7.475 -1.925 0.0
-7.475 -1.875 0.0
-7.475 -1.825 0.0
-7.475 -1.775 0.0
-7.475 -1.725 0.0
-7.475 -1.675 0.0
-7.475 -1.625 0.0
-7.475 -1.575 0.0
-7.475 -1.525 0.0
-7.475 -1.475 0.0
-7.475 -1.425 0.0
-7.475 -1.375 0.0
-7.475 -1.325 0.0
-7.475 -1.275 0.0
-7.475 -1.225 0.0
-7.475 -1.175 0.0
-7.475 -1.125 0.0
-7.475 -1.075 0.0
-7.475 -1.025 0.0
-7.475 -0.975 0.0
-7.475 -0.925 0.0
-7.475 -0.875 0.0
-7.475 -0.825 0.0
-7.475 -0.775 0.0
-7.475 -0.725 0.0
-7.475 -0.675 0.0
-7.475 -0.625 0.0
-7.475 -0.575 0.0
-7.475 -0.525 0.0
-7.475 -0.475 0.0
-7.475 -0.425 0.0
-7.475 -0.375 0.0
-7.475 -0.325 0.0
-7.475 -0.275 1.974571006509507e-07
-7.475 -0.225 2.599043674998414e-07
-7.475 -0.175 3.4038974255945124e-07
-7.475 -0.125 4.4364323240189833e-07
-7.475 -0.075 5.755662381573222e-07
-7.475 -0.025 7.435352836944399e-07
-7.475 0.025 9.56789697444355e-07
-7.475 0.075 1.226923728732873e-06
-7.475 0.125 1.5685082482732577e-06
-7.475 0.175 1.9998736200143535e-06
-7.475 0.225 2.544093903925871e-06
-7.475 0.275 3.2302235779061697e-06
-7.475 0.325 4.094851849386856e-06
-7.475 0.375 5.184056947928035e-06
-7.475 0.425 6.5558643895782885e-06
-7.475 0.475 8.2833402154067e-06
-7.475 0.525 1.0458484089685996e-05
-7.475 0.575 1.3197129734640864e-05
-7.475 0.625 1.6645113775074324e-05
-7.475 0.675 2.098604153995162e-05
-7.475 0.725 2.6451063319842375e-05
-7.475 0.775 3.333118153130204e-05
-7.475 0.825 4.199274387793245e-05
-7.475 0.875 5.2896947075982386e-05
-7.475 0.925 6.662438902925317e-05
-7.475 0.975 8.390597581535191e-05
-7.475 1.025 0.00010566182772400707
-7.475 1.075 0.00013305025377793813
-7.475 1.125 0.0001675293991858697
-7.475 1.175 0.0002109348433301391
-7.475 1.225 0.0002655772727432102
-7.475 1.275 0.0003343654187480483
-7.475 1.325 0.0004209607891023734
-7.475 1.375 0.0005299724074445632
-7.475 1.425 0.000667201891771519
-7.475 1.475 0.0008399518640105285
-7.475 1.525 0.0010574140250782852
-7.475 1.575 0.0013311574260828967
-7.475 1.625 0.001675742731375279
-7.475 1.675 0.00210949487000789
-7.475 1.725 0.002655474739517985
-7.475 1.775 0.003342700967614329
-7.475 1.825 0.004207685653264894
-7.475 1.875 0.005296364107121835
-7.475 1.925 0.00666651862459137
-7.475 1.975 0.008390821122562328
-7.475 2.025 0.010560650064135363
-7.475 2.075 0.013290874626116092
-7.475 2.125 0.016725844760198953
-7.475 2.175 0.021046880877633803
-7.475 2.225 0.0264816223590574
-7.475 2.275 0.03331567040368343
-7.475 2.325 0.041907047149219855
-7.475 2.375 0.05270408654800646
-7.475 2.425 0.06626746625077606
-7.475 2.475 0.08329717006604029
-7.475 2.525 0.10466521265988588
-7.475 2.575 0.13145491945184595
-7.475 2.625 0.16500736480645262
-7.475 2.675 0.20697511850178252
-7.475 2.725 0.25938256195921644
-7.475 2.775 0.3246904595669822
-7.475 2.825 0.4058598605919581
-7.475 2.875 0.5064063394560561
-7.475 2.925 0.6304296508248659
-7.475 2.975 0.7825959777596454
-7.475 3.025 0.9680409510321774
-7.475 3.075 1.192154694886226
-7.475 3.125 1.4602131378243999
-7.475 3.175 1.776848367493599
-7.475 3.225 2.1454303763886236
-7.475 3.275 2.5675922825660544
-7.475 3.325 3.0433732979555983
-7.475 3.375 3.572674567400508
-7.475 3.425 4.15858275428744
-7.475 3.475 4.811978015976605
-7.475 3.525 5.554163275670005
-7.475 3.575 6.410905536830082
-7.475 3.625 7.391176352029452
-7.475 3.675 8.452184098239533
-7.475 3.725 9.46534933767716
-7.475 3.775 10.180739314769585
-7.475 3.825 9.610909868461128
-7.475 3.875 0.0
-7.475 3.925 0.0
-7.475 3.975 0.0
-7.425 -1.975 0.0
-7.425 -1.925 0.0
-7.425 -1.875 0.0
-7.425 -1.825 0.0
-7.425 -1.775 0.0
-7.425 -1.725 0.0
-7.425 -1.675 0.0
-7.425 -1.625 0.0
-7.425 -1.575 0.0
-7.425 -1.525 0.0
-7.425 -1.475 0.0
-7.425 -1.425 0.0
-7.425 -1.375 0.0
-7.425 -1.325 0.0
-7.425 -1.275 0.0
-7.425 -1.225 0.0
-7.425 -1.175 0.0
-7.425 -1.125 0.0
-7.425 -1.075 0.0
-7.425 -1.025 0.0
-7.425 -0.975 0.0
-7.425 -0.925 0.0
-7.425 -0.875 0.0
-7.425 -0.825 0.0
-7.425 -0.775 0.0
-7.425 -0.725 0.0
-7.425 -0.675 0.0
-7.425 -0.625 0.0
-7.425 -0.575 0.0
-7.425 -0.525 0.0
-7.425 -0.475 0.0
-7.425 -0.425 0.0
-7.425 -0.375 0.0
-7.425 -0.325 0.0
-7.425 -0.275 2.4858376174868025e-07
-7.425 -0.225 3.272002128818402e-07
-7.425 -0.175 4.285252968221672e-07
-7.425 -0.125 5.585137390412546e-07
-7.425 -0.075 7.245949633870257e-07
-7.425 -0.025 9.360554632085145e-07
-7.425 0.025 1.2045268638555492e-06
-7.425 0.075 1.5446054604350652e-06
-7.425 0.125 1.974634892359956e-06
-7.425 0.175 2.517691720612857e-06
-7.425 0.225 3.2028244656428986e-06
-7.425 0.275 4.066610548002741e-06
-7.425 0.325 5.155113050725437e-06
-7.425 0.375 6.52634102793469e-06
-7.425 0.425 8.253344276316526e-06
-7.425 0.475 1.0428107491712006e-05
-7.425 0.525 1.3166451389350594e-05
-7.425 0.575 1.6614201985683656e-05
-7.425 0.625 2.0954956713645985e-05
-7.425 0.675 2.6419860987612747e-05
-7.425 0.725 3.3299915782325604e-05
-7.425 0.775 4.19614714348797e-05
-7.425 0.825 5.286573237889177e-05
-7.425 0.875 6.659331088028326e-05
-7.425 0.925 8.387513639418397e-05
-7.425 0.975 0.00010563136515532807
-7.425 1.025 0.00013302035997836157
-7.425 1.075 0.000167500345526696
-7.425 1.125 0.00021090701785767942
-7.425 1.175 0.00026555123450110044
-7.425 1.225 0.0003343419774513652
-7.425 1.275 0.0004209411224870327
-7.425 1.325 0.0005299582347697712
-7.425 1.375 0.0006671957312814838
-7.425 1.425 0.000839957416347976
-7.425 1.475 0.0010574367462862083
-7.425 1.525 0.001331205386957776
-7.425 1.575 0.001675827910792955
-7.425 1.625 0.002109635108155616
-7.425 1.675 0.00265569669789905
-7.425 1.725 0.0033430446299514294
-7.425 1.775 0.004208211192150288
-7.425 1.825 0.00529716239372368
-7.425 1.875 0.006667727364549212
-7.425 1.925 0.00839264970466387
-7.425 1.975 0.010563417936960117
-7.425 2.025 0.013295070730721826
-7.425 2.075 0.016732219811654687
-7.425 2.125 0.021056591002127378
-7.425 2.175 0.0264964531755222
-7.425 2.225 0.0333383873328208
-7.425 2.275 0.041941944081308996
-7.425 2.325 0.05275784658806351
-7.425 2.375 0.06635051385854589
-7.425 2.425 0.08342579723491493
-7.425 2.475 0.10486492412127389
-7.425 2.525 0.13176569593977622
-7.425 2.575 0.1654919385896143
-7.425 2.625 0.20773196466628852
-7.425 2.675 0.26056623625640934
-7.425 2.725 0.32654329857169884
-7.425 2.775 0.40876107042846005
-7.425 2.825 0.5109472919872468
-7.425 2.875 0.6375278092136301
-7.425 2.925 0.7936639074205263
-7.425 2.975 0.9852299630119629
-7.425 3.025 1.2186913520284393
-7.425 3.075 1.5008338387849411
-7.425 3.125 1.8382994236380714
-7.425 3.175 2.2369195592713416
-7.425 3.225 2.700936814617846
-7.425 3.275 3.232407163099464
-7.425 3.325 3.8313799689817722
-7.425 3.375 4.497730780002548
-7.425 3.425 5.235345473590404
-7.425 3.475 6.057921354051491
-7.425 3.525 6.992277209822851
-7.425 3.575 8.0708517736919
-7.425 3.625 9.304939561284923
-7.425 3.675 10.640669117965007
-7.425 3.725 11.916168539781458
-7.425 3.775 12.816791157698644
-7.425 3.825 12.099418465211578
-7.425 3.875 0.0
-7.425 3.925 0.0
-7.425 3.975 0.0
-7.375 -1.975 0.0
-7.375 -1.925 0.0
-7.375 -1.875 0.0
-7.375 -1.825 0.0
-7.375 -1.775 0.0
-7.375 -1.725 0.0
-7.375 -1.675 0.0
-7.375 -1.625 0.0
-7.375 -1.575 0.0
-7.375 -1.525 0.0
-7.375 -1.475 0.0
-7.375 -1.425 0.0
-7.375 -1.375 0.0
-7.375 -1.325 0.0
-7.375 -1.275 0.0
-7.375 -1.225 0.0
-7.375 -1.175 0.0
-7.375 -1.125 0.0
-7.375 -1.075 0.0
-7.375 -1.025 0.0
-7.375 -0.975 0.0
-7.375 -0.925 0.0
-7.375 -0.875 0.0
-7.375 -0.825 0.0
-7.375 -0.775 0.0
-7.375 -0.725 0.0
-7.375 -0.675 0.0
-7.375 -0.625 0.0
-7.375 -0.575 0.0
-7.375 -0.525 0.0
-7.375 -0.475 0.0
-7.375 -0.425 0.0
-7.375 -0.375 0.0
-7.375 -0.325 0.0
-7.375 -0.275 3.129484146248e-07
-7.375 -0.225 4.1192066274140944e-07
-7.375 -0.175 5.394813857660639e-07
-7.375 -0.125 7.031271389152104e-07
-7.375 -0.075 9.122110126659899e-07
-7.375 -0.025 1.1784240094819573e-06
-7.375 0.025 1.5164094780964816e-06
-7.375 0.075 1.94454306533773e-06
-7.375 0.125 2.485918045007384e-06
-7.375 0.175 3.1695860861432975e-06
-7.375 0.225 4.032117109313909e-06
-7.375 0.275 5.119559358750838e-06
-7.375 0.325 6.489902820229981e-06
-7.375 0.375 8.216176566101806e-06
-7.375 0.425 1.0390344841740753e-05
-7.375 0.475 1.3128209518237285e-05
-7.375 0.525 1.6575580237205945e-05
-7.375 0.575 2.0916041076458045e-05
-7.375 0.625 2.638072750985538e-05
-7.375 0.675 3.326063437337448e-05
-7.375 0.725 4.19221101889745e-05
-7.375 0.775 5.282636270564376e-05
-7.375 0.825 6.655401390489445e-05
-7.375 0.875 8.383601132269421e-05
-7.375 0.925 0.0001055925406243347
-7.375 0.975 0.000132982009876543
-7.375 1.025 0.00016746271146275398
-7.375 1.075 0.0002108704414678401
-7.375 1.125 0.00026551620430672565
-7.375 1.175 0.00033430919724669475
-7.375 1.225 0.00042091161164295275
-7.375 1.275 0.0005299334759679547
-7.375 1.325 0.0006671778889410352
-7.375 1.375 0.0008399496607505218
-7.375 1.425 0.0010574437362649155
