#      mass       lower
 3.6004e-02  1.0000e+05
 3.6512e-02  4.3541e-01
 3.7020e-02  3.9202e-01
 3.7483e-02  3.4856e-01
 3.7991e-02  3.0525e-01
 3.8499e-02  2.6170e-01
 3.9007e-02  2.1834e-01
 3.9516e-02  1.7479e-01
 3.9978e-02  1.3137e-01
 4.0487e-02  8.7985e-02
 4.0995e-02  4.4507e-02
 4.1504e-02  1.0787e-03
 4.2012e-02  1.0549e-03
 4.2521e-02  9.2084e-04
 4.2982e-02  9.6546e-04
 4.3491e-02  9.4980e-04
 4.3999e-02  9.7867e-04
 4.4508e-02  9.6283e-04
 4.5016e-02  9.4774e-04
 4.5478e-02  9.3443e-04
 4.5987e-02  9.0345e-04
 4.6495e-02  9.0197e-04
 4.7004e-02  8.9464e-04
 4.7512e-02  8.1784e-04
 4.8020e-02  8.3676e-04
 4.8483e-02  8.1521e-04
 4.8991e-02  8.1521e-04
 4.9499e-02  7.7035e-04
 5.0007e-02  7.6867e-04
 5.0516e-02  7.9764e-04
 5.0978e-02  7.4080e-04
 5.1486e-02  7.8007e-04
 5.1995e-02  7.8304e-04
 5.2503e-02  7.3999e-04
 5.3012e-02  8.0856e-04
 5.3520e-02  7.7796e-04
 5.3982e-02  7.5503e-04
 5.4490e-02  7.6039e-04
 5.4999e-02  7.7921e-04
 5.5508e-02  7.4037e-04
 5.6016e-02  7.2366e-04
 5.6478e-02  7.8050e-04
 5.6987e-02  6.8718e-04
 5.7495e-02  7.3554e-04
 5.8003e-02  7.6910e-04
 5.8512e-02  6.9929e-04
 5.9020e-02  7.3238e-04
 5.9482e-02  7.2285e-04
 5.9991e-02  7.1505e-04
 6.0499e-02  7.3717e-04
 6.1007e-02  7.2323e-04
 6.1516e-02  7.2170e-04
 6.1978e-02  7.0652e-04
 6.2486e-02  7.2960e-04
 6.2995e-02  7.0384e-04
 6.3503e-02  6.6046e-04
 6.4011e-02  6.9623e-04
 6.4520e-02  6.7937e-04
 6.4982e-02  6.4624e-04
 6.5490e-02  6.6008e-04
 6.5999e-02  6.4275e-04
 6.6507e-02  6.3853e-04
 6.7016e-02  6.3197e-04
 6.7478e-02  6.1268e-04
 6.7986e-02  6.1234e-04
 6.8495e-02  5.9333e-04
 6.9003e-02  6.0971e-04
 6.9512e-02  5.7116e-04
 6.9974e-02  5.8500e-04
 7.0482e-02  5.9530e-04
 7.0991e-02  5.8692e-04
 7.1499e-02  5.4804e-04
 7.2007e-02  5.7552e-04
 7.2515e-02  5.9013e-04
 7.2978e-02  5.7839e-04
 7.3486e-02  5.7150e-04
 7.3995e-02  5.9400e-04
 7.4503e-02  5.8280e-04
 7.5011e-02  6.0770e-04
 7.5474e-02  5.8438e-04
 7.5982e-02  6.2278e-04
 7.6490e-02  6.0803e-04
 7.6999e-02  6.5117e-04
 7.7507e-02  6.4169e-04
 7.8016e-02  6.1138e-04
 7.8478e-02  6.5045e-04
 7.8986e-02  6.5333e-04
 7.9494e-02  6.5936e-04
 8.0003e-02  6.3786e-04
 8.0512e-02  6.5582e-04
 8.0973e-02  6.5903e-04
 8.1482e-02  6.2479e-04
 8.1991e-02  6.4624e-04
 8.2499e-02  6.3580e-04
 8.3007e-02  6.0506e-04
 8.3515e-02  6.6659e-04
 8.3978e-02  6.1335e-04
 8.4486e-02  6.1172e-04
 8.4995e-02  5.9075e-04
 8.5503e-02  6.1804e-04
 8.6011e-02  6.0573e-04
 8.6474e-02  6.0047e-04
 8.6982e-02  5.9788e-04
 8.7490e-02  5.9238e-04
 8.7998e-02  5.7365e-04
 8.8507e-02  6.0473e-04
 8.9016e-02  5.5106e-04
 8.9478e-02  5.8759e-04
 8.9986e-02  5.9496e-04
 9.0494e-02  5.8438e-04
 9.1003e-02  5.6499e-04
 9.1511e-02  5.5738e-04
 9.1973e-02  5.7552e-04
 9.2482e-02  5.7116e-04
 9.2990e-02  5.4895e-04
 9.3499e-02  5.8855e-04
 9.4007e-02  5.5134e-04
 9.4515e-02  5.9496e-04
 9.4978e-02  5.5948e-04
 9.5486e-02  5.7274e-04
 9.5994e-02  5.5465e-04
 9.6503e-02  5.7303e-04
 9.7011e-02  5.5891e-04
 9.7474e-02  5.6714e-04
 9.7982e-02  5.6623e-04
 9.8490e-02  5.7365e-04
 9.8998e-02  5.4655e-04
 9.9507e-02  5.6810e-04
 1.0002e-01  5.3047e-04
 1.0048e-01  5.6561e-04
 1.0099e-01  5.3832e-04
 1.0149e-01  5.6777e-04
 1.0200e-01  5.5402e-04
 1.0251e-01  5.6901e-04
 1.0297e-01  5.4924e-04
 1.0348e-01  5.6010e-04
 1.0399e-01  5.7868e-04
 1.0450e-01  5.6192e-04
 1.0501e-01  5.7241e-04
 1.0552e-01  5.7212e-04
 1.0598e-01  5.5345e-04
 1.0649e-01  5.6963e-04
 1.0699e-01  5.6164e-04
 1.0750e-01  5.7179e-04
 1.0801e-01  5.4181e-04
 1.0847e-01  5.5618e-04
 1.0898e-01  5.5225e-04
 1.0949e-01  5.3018e-04
 1.1000e-01  5.2788e-04
 1.1051e-01  5.3219e-04
 1.1102e-01  5.3889e-04
 1.1148e-01  5.1203e-04
 1.1199e-01  5.2156e-04
 1.1249e-01  5.0538e-04
 1.1300e-01  4.7551e-04
 1.1351e-01  5.1792e-04
 1.1397e-01  4.9130e-04
 1.1448e-01  4.7140e-04
 1.1499e-01  4.8048e-04
 1.1550e-01  4.9317e-04
 1.1601e-01  4.6554e-04
 1.1652e-01  4.5601e-04
 1.1698e-01  4.7837e-04
 1.1749e-01  4.5010e-04
 1.1799e-01  4.6200e-04
 1.1850e-01  4.7837e-04
 1.1901e-01  4.4450e-04
 1.1947e-01  4.3898e-04
 1.1998e-01  4.6428e-04
 1.2049e-01  4.5133e-04
 1.2100e-01  4.3993e-04
 1.2151e-01  4.4741e-04
 1.2201e-01  4.5084e-04
 1.2248e-01  4.3946e-04
 1.2299e-01  4.4378e-04
 1.2349e-01  4.5626e-04
 1.2400e-01  4.3446e-04
 1.2451e-01  4.6175e-04
 1.2497e-01  4.4041e-04
 1.2548e-01  4.6000e-04
 1.2599e-01  4.6200e-04
 1.2650e-01  4.3993e-04
 1.2701e-01  4.5453e-04
 1.2751e-01  4.7114e-04
 1.2798e-01  4.6655e-04
 1.2849e-01  4.6782e-04
 1.2899e-01  4.6050e-04
 1.2950e-01  4.8359e-04
 1.3001e-01  4.5256e-04
 1.3047e-01  4.9077e-04
 1.3098e-01  4.7114e-04
 1.3149e-01  4.7397e-04
 1.3200e-01  4.8125e-04
 1.3251e-01  4.8809e-04
 1.3302e-01  4.7785e-04
 1.3348e-01  4.8757e-04
 1.3399e-01  4.7995e-04
 1.3449e-01  4.7708e-04
 1.3500e-01  4.7448e-04
 1.3551e-01  5.0265e-04
 1.3597e-01  4.8623e-04
 1.3648e-01  4.8599e-04
 1.3699e-01  4.7914e-04
 1.3750e-01  5.0868e-04
 1.3801e-01  4.8465e-04
 1.3852e-01  4.5875e-04
 1.3898e-01  4.8675e-04
 1.3949e-01  4.8283e-04
 1.3999e-01  4.9346e-04
 1.4050e-01  4.7474e-04
 1.4101e-01  4.6986e-04
 1.4147e-01  4.7995e-04
 1.4198e-01  4.7371e-04
 1.4249e-01  4.8306e-04
 1.4300e-01  4.7448e-04
 1.4351e-01  4.6100e-04
 1.4401e-01  5.0619e-04
 1.4448e-01  4.6579e-04
 1.4498e-01  4.7063e-04
 1.4549e-01  4.6478e-04
 1.4600e-01  4.7733e-04
 1.4651e-01  4.9049e-04
 1.4697e-01  4.6301e-04
 1.4748e-01  4.5084e-04
 1.4799e-01  4.6100e-04
 1.4850e-01  4.6554e-04
 1.4901e-01  4.7552e-04
 1.4951e-01  4.4378e-04
 1.4998e-01  4.5034e-04
 1.5049e-01  4.7088e-04
 1.5099e-01  4.5825e-04
 1.5150e-01  4.8096e-04
 1.5201e-01  4.3731e-04
 1.5247e-01  4.5975e-04
 1.5298e-01  4.9101e-04
 1.5349e-01  4.5701e-04
 1.5400e-01  4.5133e-04
 1.5451e-01  4.7995e-04
 1.5501e-01  4.7063e-04
 1.5548e-01  4.8388e-04
 1.5599e-01  4.6050e-04
 1.5649e-01  4.7294e-04
 1.5700e-01  4.6175e-04
 1.5751e-01  4.6478e-04
 1.5797e-01  4.8891e-04
 1.5848e-01  4.4790e-04
 1.5899e-01  4.8704e-04
 1.5950e-01  4.9101e-04
 1.6001e-01  4.8465e-04
 1.6051e-01  4.7655e-04
 1.6098e-01  4.9480e-04
 1.6149e-01  4.8838e-04
 1.6199e-01  4.8651e-04
 1.6250e-01  5.0265e-04
 1.6301e-01  4.9992e-04
 1.6347e-01  4.9585e-04
 1.6398e-01  5.2357e-04
 1.6449e-01  4.9748e-04
 1.6500e-01  4.9719e-04
 1.6551e-01  5.0404e-04
 1.6601e-01  5.0926e-04
 1.6648e-01  5.1428e-04
 1.6698e-01  5.1285e-04
 1.6749e-01  5.1960e-04
 1.6800e-01  5.0897e-04
 1.6851e-01  5.3449e-04
 1.6897e-01  5.1874e-04
 1.6948e-01  5.0978e-04
 1.6999e-01  5.4095e-04
 1.7050e-01  5.2587e-04
 1.7101e-01  5.2185e-04
 1.7151e-01  5.5015e-04
 1.7198e-01  5.2874e-04
 1.7249e-01  5.3712e-04
 1.7299e-01  5.4536e-04
 1.7350e-01  5.4450e-04
 1.7401e-01  5.2903e-04
 1.7447e-01  5.3655e-04
 1.7498e-01  5.8280e-04
 1.7549e-01  5.3770e-04
 1.7600e-01  5.5134e-04
 1.7651e-01  5.7337e-04
 1.7701e-01  5.3918e-04
 1.7748e-01  5.6810e-04
 1.7799e-01  5.9046e-04
 1.7849e-01  5.5043e-04
 1.7900e-01  5.6499e-04
 1.7951e-01  5.8376e-04
 1.7997e-01  5.7993e-04
 1.8048e-01  5.3832e-04
 1.8099e-01  5.7839e-04
 1.8150e-01  5.7586e-04
 1.8201e-01  5.4804e-04
 1.8251e-01  5.9951e-04
 1.8298e-01  5.4478e-04
 1.8348e-01  5.4718e-04
 1.8399e-01  5.8151e-04
 1.8450e-01  5.5618e-04
 1.8501e-01  5.6283e-04
 1.8547e-01  5.6748e-04
 1.8598e-01  5.5436e-04
 1.8649e-01  5.4952e-04
 1.8700e-01  5.5493e-04
 1.8751e-01  5.6901e-04
 1.8801e-01  5.2443e-04
 1.8848e-01  5.6437e-04
 1.8898e-01  5.5283e-04
 1.8949e-01  5.1874e-04
 1.9000e-01  5.4775e-04
 1.9051e-01  5.2932e-04
 1.9097e-01  5.2932e-04
 1.9148e-01  5.2759e-04
 1.9199e-01  5.4421e-04
 1.9250e-01  5.2357e-04
 1.9301e-01  5.1452e-04
 1.9351e-01  5.2017e-04
 1.9398e-01  5.2328e-04
 1.9449e-01  5.0897e-04
 1.9499e-01  5.3741e-04
 1.9550e-01  4.9748e-04
 1.9601e-01  5.3248e-04
 1.9647e-01  5.1007e-04
 1.9698e-01  5.2017e-04
 1.9749e-01  5.1371e-04
 1.9800e-01  5.2702e-04
 1.9851e-01  5.0021e-04
 1.9901e-01  5.2214e-04
 1.9948e-01  5.1452e-04
 1.9999e-01  5.2817e-04
 2.0049e-01  5.3162e-04
 2.0100e-01  5.2443e-04
 2.0151e-01  5.1850e-04
 2.0197e-01  5.2472e-04
 2.0248e-01  5.5163e-04
 2.0299e-01  5.1960e-04
 2.0350e-01  5.1821e-04
 2.0401e-01  5.5738e-04
 2.0451e-01  5.2616e-04
 2.0498e-01  5.2788e-04
 2.0548e-01  5.3889e-04
 2.0599e-01  5.2132e-04
 2.0650e-01  5.5584e-04
 2.0701e-01  5.2161e-04
 2.0747e-01  5.4038e-04
 2.0798e-01  5.2530e-04
 2.0849e-01  5.4655e-04
 2.0900e-01  5.3626e-04
 2.0951e-01  5.2558e-04
 2.1001e-01  5.5766e-04
 2.1048e-01  5.3047e-04
 2.1098e-01  5.3047e-04
 2.1149e-01  5.4306e-04
 2.1200e-01  5.0348e-04
 2.1251e-01  5.3757e-04
 2.1297e-01  5.0606e-04
 2.1348e-01  5.0301e-04
 2.1399e-01  4.9340e-04
 2.1450e-01  5.0199e-04
 2.1501e-01  5.0435e-04
 2.1547e-01  4.7971e-04
 2.1598e-01  5.0127e-04
 2.1648e-01  4.8555e-04
 2.1699e-01  4.6456e-04
 2.1750e-01  5.0623e-04
 2.1801e-01  4.6695e-04
 2.1847e-01  4.5715e-04
 2.1898e-01  4.7930e-04
 2.1949e-01  4.7414e-04
 2.2000e-01  4.7089e-04
 2.2051e-01  4.5687e-04
