#      mass       lower
 2.0042e-02  1.0000e+05
 2.0241e-02  8.3681e-04
 2.0770e-02  8.9809e-04
 2.1298e-02  9.1322e-04
 2.1825e-02  8.4863e-04
 2.2352e-02  8.3527e-04
 2.2878e-02  8.2326e-04
 2.3404e-02  7.9165e-04
 2.3929e-02  7.5914e-04
 2.4454e-02  7.1021e-04
 2.4979e-02  6.6487e-04
 2.5502e-02  6.3532e-04
 2.6026e-02  6.3872e-04
 2.6549e-02  6.3288e-04
 2.7071e-02  6.5577e-04
 2.7593e-02  7.1485e-04
 2.8114e-02  7.6953e-04
 2.8635e-02  8.1310e-04
 2.9156e-02  8.3489e-04
 2.9676e-02  8.4408e-04
 3.0195e-02  8.5375e-04
 3.0715e-02  8.7880e-04
 3.1236e-02  8.9800e-04
 3.1760e-02  8.1512e-04
 3.2285e-02  7.4847e-04
 3.2813e-02  6.4686e-04
 3.3342e-02  5.5474e-04
 3.3874e-02  4.9810e-04
 3.4408e-02  4.5241e-04
 3.4944e-02  4.4540e-04
 3.5482e-02  4.7923e-04
 3.6022e-02  4.9413e-04
 3.6564e-02  5.0902e-04
 3.7108e-02  4.8685e-04
 3.7655e-02  4.9978e-04
 3.8203e-02  5.4708e-04
 3.8753e-02  5.7591e-04
 3.9306e-02  6.0617e-04
 3.9861e-02  6.1162e-04
 4.0418e-02  6.5036e-04
 4.0976e-02  6.8421e-04
 4.1536e-02  7.1524e-04
 4.2096e-02  7.2491e-04
 4.2658e-02  6.9719e-04
 4.3220e-02  6.9733e-04
 4.3783e-02  6.8014e-04
 4.4347e-02  6.5831e-04
 4.4912e-02  6.7056e-04
 4.5478e-02  6.9810e-04
 4.6045e-02  6.6760e-04
 4.6613e-02  6.5539e-04
 4.7182e-02  5.8562e-04
 4.7752e-02  5.2233e-04
 4.8322e-02  4.1840e-04
 4.8894e-02  3.6261e-04
 4.9467e-02  3.3243e-04
 5.0040e-02  3.2268e-04
 5.0615e-02  3.3608e-04
 5.1187e-02  3.4847e-04
 5.1757e-02  3.6173e-04
 5.2325e-02  3.8857e-04
 5.2890e-02  4.3389e-04
 5.3453e-02  4.1287e-04
 5.4012e-02  4.1722e-04
 5.4569e-02  4.4443e-04
 5.5124e-02  4.5767e-04
 5.5676e-02  4.9867e-04
 5.6225e-02  5.6207e-04
 5.6772e-02  6.0880e-04
 5.7317e-02  6.2709e-04
 5.7859e-02  6.3748e-04
 5.8399e-02  6.3346e-04
 5.8935e-02  6.2680e-04
 5.9470e-02  6.2934e-04
 6.0002e-02  6.5261e-04
 6.0532e-02  6.5998e-04
 6.1060e-02  6.4447e-04
 6.1586e-02  6.1435e-04
 6.2112e-02  5.5670e-04
 6.2637e-02  4.7895e-04
 6.3160e-02  4.5165e-04
 6.3682e-02  4.2709e-04
 6.4204e-02  4.2073e-04
 6.4724e-02  4.2009e-04
 6.5243e-02  4.3379e-04
 6.5761e-02  4.2222e-04
 6.6277e-02  4.4116e-04
 6.6793e-02  4.3092e-04
 6.7308e-02  4.2481e-04
 6.7820e-02  4.3824e-04
 6.8333e-02  4.7608e-04
 6.8844e-02  4.9403e-04
 6.9354e-02  5.0825e-04
 6.9863e-02  5.1117e-04
 7.0372e-02  5.2199e-04
 7.0879e-02  4.5776e-04
 7.1389e-02  4.3214e-04
 7.1904e-02  4.1832e-04
 7.2421e-02  4.0513e-04
 7.2942e-02  4.0967e-04
