#      mass       lower
 5.1900e-01  1
 5.1900e-01  5.2071e-04
 5.2100e-01  5.1554e-04
 5.2300e-01  5.1028e-04
 5.2500e-01  5.0491e-04
 5.2700e-01  4.9950e-04
 5.2900e-01  4.9398e-04
 5.3100e-01  4.8837e-04
 5.3300e-01  4.8302e-04
 5.3500e-01  4.7779e-04
 5.3700e-01  4.7270e-04
 5.3900e-01  4.6777e-04
 5.4100e-01  4.6311e-04
 5.4300e-01  4.5871e-04
 5.4500e-01  4.5462e-04
 5.4700e-01  4.5074e-04
 5.4900e-01  4.4708e-04
 5.5100e-01  4.4369e-04
 5.5300e-01  4.4057e-04
 5.5500e-01  4.3774e-04
 5.5700e-01  4.3521e-04
 5.5900e-01  4.3267e-04
 5.6100e-01  4.3010e-04
 5.6300e-01  4.2751e-04
 5.6500e-01  4.2489e-04
 5.6700e-01  4.2229e-04
 5.6900e-01  4.1971e-04
 5.7100e-01  4.1714e-04
 5.7300e-01  4.1459e-04
 5.7500e-01  4.1206e-04
 5.7700e-01  4.0954e-04
 5.7900e-01  4.0705e-04
 5.8100e-01  4.0459e-04
 5.8300e-01  4.0219e-04
 5.8500e-01  3.9983e-04
 5.8700e-01  3.9754e-04
 5.8900e-01  3.9531e-04
 5.9100e-01  3.9315e-04
 5.9300e-01  3.9104e-04
 5.9500e-01  3.8898e-04
 5.9700e-01  3.8698e-04
 5.9900e-01  3.8505e-04
 6.0100e-01  3.8322e-04
 6.0300e-01  3.8152e-04
 6.0500e-01  3.7993e-04
 6.0700e-01  3.7850e-04
 6.0900e-01  3.7722e-04
 6.1100e-01  3.7609e-04
 6.1300e-01  3.7513e-04
 6.1500e-01  3.7432e-04
 6.1700e-01  3.7368e-04
 6.1900e-01  3.7319e-04
 6.2100e-01  3.7286e-04
 6.2300e-01  3.7265e-04
 6.2500e-01  3.7257e-04
 6.2700e-01  3.7260e-04
 6.2900e-01  3.7271e-04
 6.3100e-01  3.7289e-04
 6.3300e-01  3.7311e-04
 6.3500e-01  3.7335e-04
 6.3700e-01  3.7360e-04
 6.3900e-01  3.7384e-04
 6.4100e-01  3.7406e-04
 6.4300e-01  3.7425e-04
 6.4500e-01  3.7440e-04
 6.4700e-01  3.7451e-04
 6.4900e-01  3.7458e-04
 6.5100e-01  3.7461e-04
 6.5300e-01  3.7459e-04
 6.5500e-01  3.7453e-04
 6.5700e-01  3.7444e-04
 6.5900e-01  3.7432e-04
 6.6100e-01  3.7418e-04
 6.6300e-01  3.7402e-04
 6.6500e-01  3.7386e-04
 6.6700e-01  3.7369e-04
 6.6900e-01  3.7352e-04
 6.7100e-01  3.7336e-04
 6.7300e-01  3.7321e-04
 6.7500e-01  3.7306e-04
 6.7700e-01  3.7293e-04
 6.7900e-01  3.7282e-04
 6.8100e-01  3.7274e-04
 6.8300e-01  3.7268e-04
 6.8500e-01  3.7265e-04
 6.8700e-01  3.7264e-04
 6.8900e-01  3.7267e-04
 6.9100e-01  3.7273e-04
 6.9300e-01  3.7280e-04
 6.9500e-01  3.7291e-04
 6.9700e-01  3.7303e-04
 6.9900e-01  3.7318e-04
 7.0100e-01  3.7333e-04
 7.0300e-01  3.7350e-04
 7.0500e-01  3.7369e-04
 7.0700e-01  3.7388e-04
 7.0900e-01  3.7408e-04
 7.1100e-01  3.7430e-04
 7.1300e-01  3.7452e-04
 7.1500e-01  3.7476e-04
 7.1700e-01  3.7503e-04
 7.1900e-01  3.7532e-04
 7.2100e-01  3.7565e-04
 7.2300e-01  3.7602e-04
 7.2500e-01  3.7644e-04
 7.2700e-01  3.7693e-04
 7.2900e-01  3.7750e-04
 7.3100e-01  3.7815e-04
 7.3300e-01  3.7890e-04
 7.3500e-01  3.7977e-04
 7.3700e-01  3.8078e-04
 7.3900e-01  3.8194e-04
 7.4100e-01  3.8330e-04
 7.4300e-01  3.8490e-04
 7.4500e-01  3.8677e-04
 7.4700e-01  3.8899e-04
 7.4900e-01  3.9165e-04
 7.5100e-01  3.9484e-04
 7.5300e-01  3.9872e-04
 7.5500e-01  4.0346e-04
 7.5700e-01  4.0932e-04
 7.5900e-01  4.1348e-04
 7.6100e-01  4.2257e-04
 7.6300e-01  4.3421e-04
 7.6500e-01  4.4934e-04
 7.6700e-01  4.6924e-04
 7.6900e-01  4.9582e-04
 7.7100e-01  5.3172e-04
 7.7300e-01  5.8061e-04
 7.7500e-01  6.4685e-04
 7.7700e-01  7.3298e-04
 7.7900e-01  8.2923e-04
 7.8100e-01  8.8991e-04
 7.8300e-01  8.6242e-04
 7.8500e-01  7.9145e-04
 7.8700e-01  7.1740e-04
 7.8900e-01  6.4756e-04
 7.9100e-01  5.8735e-04
 7.9300e-01  5.3834e-04
 7.9500e-01  4.9933e-04
 7.9700e-01  4.6835e-04
 7.9900e-01  4.4353e-04
 8.0100e-01  4.2375e-04
 8.0300e-01  4.0779e-04
 8.0500e-01  3.9441e-04
 8.0700e-01  3.8301e-04
 8.0900e-01  3.7778e-04
 8.1100e-01  3.6918e-04
 8.1300e-01  3.6158e-04
 8.1500e-01  3.5478e-04
 8.1700e-01  3.4862e-04
 8.1900e-01  3.4298e-04
 8.2100e-01  3.3778e-04
 8.2300e-01  3.3294e-04
 8.2500e-01  3.2839e-04
 8.2700e-01  3.2409e-04
 8.2900e-01  3.2000e-04
 8.3100e-01  3.1609e-04
 8.3300e-01  3.1233e-04
 8.3500e-01  3.0870e-04
 8.3700e-01  3.0518e-04
 8.3900e-01  3.0176e-04
 8.4100e-01  2.9842e-04
 8.4300e-01  2.9516e-04
 8.4500e-01  2.9197e-04
 8.4700e-01  2.8885e-04
 8.4900e-01  2.8580e-04
 8.5100e-01  2.8282e-04
 8.5300e-01  2.7989e-04
 8.5500e-01  2.7705e-04
 8.5700e-01  2.7427e-04
 8.5900e-01  2.7156e-04
 8.6100e-01  2.6891e-04
 8.6300e-01  2.6633e-04
 8.6500e-01  2.6381e-04
 8.6700e-01  2.6134e-04
 8.6900e-01  2.5892e-04
 8.7100e-01  2.5654e-04
 8.7300e-01  2.5421e-04
 8.7500e-01  2.5191e-04
 8.7700e-01  2.4965e-04
 8.7900e-01  2.4741e-04
 8.8100e-01  2.4519e-04
 8.8300e-01  2.4301e-04
 8.8500e-01  2.4084e-04
 8.8700e-01  2.3871e-04
 8.8900e-01  2.3661e-04
 8.9100e-01  2.3449e-04
 8.9300e-01  2.3250e-04
 8.9500e-01  2.3055e-04
 8.9700e-01  2.2864e-04
 8.9900e-01  2.2676e-04
 9.0100e-01  2.2494e-04
 9.0300e-01  2.2317e-04
 9.0500e-01  2.2144e-04
 9.0700e-01  2.1977e-04
 9.0900e-01  2.1815e-04
 9.1100e-01  2.1659e-04
 9.1300e-01  2.1508e-04
 9.1500e-01  2.1364e-04
 9.1700e-01  2.1227e-04
 9.1900e-01  2.1097e-04
 9.2100e-01  2.0976e-04
 9.2300e-01  2.0865e-04
 9.2500e-01  2.0763e-04
 9.2700e-01  2.0672e-04
 9.2900e-01  2.0592e-04
 9.3100e-01  2.0523e-04
 9.3300e-01  2.0464e-04
 9.3500e-01  2.0415e-04
 9.3700e-01  2.0373e-04
 9.3900e-01  2.0338e-04
 9.4100e-01  2.0307e-04
 9.4300e-01  2.0278e-04
 9.4500e-01  2.0248e-04
 9.4700e-01  2.0215e-04
 9.4900e-01  2.0175e-04
 9.5100e-01  2.0137e-04
 9.5300e-01  2.0099e-04
 9.5500e-01  2.0058e-04
 9.5700e-01  2.0015e-04
 9.5900e-01  1.9969e-04
 9.6100e-01  1.9920e-04
 9.6300e-01  1.9874e-04
 9.6500e-01  1.9831e-04
 9.6700e-01  1.9792e-04
 9.6900e-01  1.9758e-04
 9.7100e-01  1.9730e-04
 9.7300e-01  1.9708e-04
 9.7500e-01  1.9692e-04
 9.7700e-01  1.9672e-04
 9.7900e-01  1.9649e-04
 9.8100e-01  1.9621e-04
 9.8300e-01  1.9590e-04
 9.8500e-01  1.9552e-04
 9.8581e-01  4.4368e-03
 9.8581e-01  1
