#      mass       lower
 2.1400e-01  1.0089e+00
 2.1410e-01  2.5399e-04
 2.1420e-01  2.2789e-04
 2.1430e-01  1.3384e-04
 2.1450e-01  1.0866e-04
 2.1460e-01  9.5199e-05
 2.1470e-01  1.3121e-04
 2.1490e-01  1.9836e-04
 2.1500e-01  2.7676e-04
 2.1520e-01  3.0789e-04
 2.1530e-01  2.4766e-04
 2.1550e-01  2.3903e-04
 2.1560e-01  1.7125e-04
 2.1580e-01  1.5549e-04
 2.1590e-01  1.5899e-04
 2.1610e-01  1.7498e-04
 2.1620e-01  1.7936e-04
 2.1640e-01  2.5801e-04
 2.1660e-01  2.0427e-04
 2.1670e-01  1.9370e-04
 2.1690e-01  2.1003e-04
 2.1710e-01  2.2924e-04
 2.1730e-01  2.4995e-04
 2.1750e-01  3.0509e-04
 2.1770e-01  1.9108e-04
 2.1780e-01  1.2006e-04
 2.1800e-01  1.6840e-04
 2.1820e-01  1.1998e-04
 2.1840e-01  1.0508e-04
 2.1860e-01  1.0135e-04
 2.1880e-01  1.4784e-04
 2.1910e-01  2.1003e-04
 2.1930e-01  2.5432e-04
 2.1950e-01  2.7345e-04
 2.1970e-01  2.7390e-04
 2.1990e-01  2.7225e-04
 2.2010e-01  2.6974e-04
 2.2040e-01  2.8312e-04
 2.2060e-01  2.8723e-04
 2.2080e-01  2.5227e-04
 2.2110e-01  2.5099e-04
 2.2130e-01  2.4535e-04
 2.2160e-01  2.1686e-04
 2.2180e-01  1.4117e-04
 2.2200e-01  2.0560e-04
 2.2230e-01  1.4911e-04
 2.2260e-01  2.3051e-04
 2.2280e-01  2.3112e-04
 2.2310e-01  1.9727e-04
 2.2330e-01  1.8986e-04
 2.2360e-01  1.5787e-04
 2.2390e-01  1.4643e-04
 2.2410e-01  1.4295e-04
 2.2440e-01  1.6630e-04
 2.2470e-01  1.7360e-04
 2.2500e-01  2.1733e-04
 2.2530e-01  2.5708e-04
 2.2560e-01  2.8449e-04
 2.2590e-01  2.4440e-04
 2.2620e-01  1.9754e-04
 2.2650e-01  2.0556e-04
 2.2680e-01  1.3953e-04
 2.2710e-01  1.3848e-04
 2.2740e-01  1.5924e-04
 2.2770e-01  2.1398e-04
 2.2800e-01  1.7521e-04
 2.2830e-01  2.1066e-04
 2.2860e-01  2.7566e-04
 2.2900e-01  3.2832e-04
 2.2930e-01  2.8215e-04
 2.2960e-01  2.6763e-04
 2.3000e-01  2.3772e-04
 2.3030e-01  2.1892e-04
 2.3060e-01  2.0704e-04
 2.3100e-01  2.0745e-04
 2.3130e-01  2.2897e-04
 2.3170e-01  2.4068e-04
 2.3200e-01  2.2270e-04
 2.3240e-01  2.0772e-04
 2.3270e-01  1.3870e-04
 2.3310e-01  1.2387e-04
 2.3350e-01  1.2584e-04
 2.3380e-01  1.5595e-04
 2.3420e-01  1.9341e-04
 2.3460e-01  2.3088e-04
 2.3500e-01  2.8318e-04
 2.3530e-01  2.4475e-04
 2.3570e-01  2.4839e-04
 2.3610e-01  2.2076e-04
 2.3650e-01  2.9531e-04
 2.3690e-01  3.0367e-04
 2.3730e-01  2.8725e-04
 2.3770e-01  2.1090e-04
 2.3810e-01  2.0424e-04
 2.3850e-01  2.4874e-04
 2.3890e-01  2.6947e-04
 2.3930e-01  2.0429e-04
 2.3980e-01  1.8096e-04
 2.4020e-01  1.8031e-04
 2.4060e-01  1.9036e-04
 2.4100e-01  2.5232e-04
 2.4150e-01  2.3214e-04
 2.4190e-01  2.0751e-04
 2.4230e-01  1.3342e-04
 2.4280e-01  1.6279e-04
 2.4320e-01  1.4419e-04
 2.4370e-01  1.7377e-04
 2.4410e-01  2.3966e-04
 2.4460e-01  2.7027e-04
 2.4500e-01  3.3599e-04
 2.4550e-01  3.1316e-04
 2.4600e-01  3.1134e-04
 2.4640e-01  2.4923e-04
 2.4690e-01  3.0924e-04
 2.4740e-01  2.7231e-04
 2.4780e-01  1.9120e-04
 2.4830e-01  2.4727e-04
 2.4880e-01  2.5062e-04
 2.4930e-01  1.5173e-04
 2.4980e-01  1.3791e-04
 2.5030e-01  1.3154e-04
 2.5080e-01  1.4080e-04
 2.5130e-01  2.0893e-04
 2.5180e-01  2.1692e-04
 2.5230e-01  1.8585e-04
 2.5280e-01  1.6473e-04
 2.5330e-01  1.5263e-04
 2.5380e-01  1.8083e-04
 2.5430e-01  2.2056e-04
 2.5480e-01  3.1117e-04
 2.5540e-01  2.6820e-04
 2.5590e-01  2.4941e-04
 2.5640e-01  2.4040e-04
 2.5700e-01  2.6415e-04
 2.5750e-01  1.7828e-04
 2.5800e-01  2.4585e-04
 2.5860e-01  1.6472e-04
 2.5910e-01  2.0866e-04
 2.5970e-01  2.3158e-04
 2.6020e-01  2.4900e-04
 2.6080e-01  2.4787e-04
 2.6130e-01  2.3967e-04
 2.6190e-01  2.3678e-04
 2.6250e-01  2.9345e-04
 2.6300e-01  2.9019e-04
 2.6360e-01  2.8404e-04
 2.6420e-01  1.9869e-04
 2.6480e-01  1.3248e-04
 2.6530e-01  1.4738e-04
 2.6590e-01  1.5596e-04
 2.6650e-01  2.7417e-04
 2.6710e-01  4.0122e-04
 2.6770e-01  3.3330e-04
 2.6830e-01  2.9477e-04
 2.6890e-01  1.6828e-04
 2.6950e-01  1.5272e-04
 2.7010e-01  1.8123e-04
