#      mass       lower
 8.9907e-03  1
 8.9907e-03  6.0690e-04
 9.0814e-03  5.0692e-04
 9.1546e-03  5.5810e-04
 9.2284e-03  5.9938e-04
 9.3215e-03  5.3378e-04
 9.3967e-03  5.4436e-04
 9.4724e-03  5.1238e-04
 9.5488e-03  5.0242e-04
 9.6258e-03  4.4746e-04
 9.7034e-03  3.8387e-04
 9.8013e-03  4.2040e-04
 9.8803e-03  3.7375e-04
 9.9599e-03  3.8525e-04
 1.0040e-02  3.8731e-04
 1.0121e-02  3.1385e-04
 1.0182e-02  3.6649e-04
 1.0264e-02  2.5379e-04
 1.0347e-02  3.0557e-04
 1.0431e-02  3.0178e-04
 1.0515e-02  4.0713e-04
 1.0599e-02  4.2720e-04
 1.0663e-02  4.3565e-04
 1.0749e-02  4.0065e-04
 1.0836e-02  4.0858e-04
 1.0923e-02  4.0208e-04
 1.1034e-02  4.2720e-04
 1.1123e-02  4.4586e-04
 1.1235e-02  4.0931e-04
 1.1325e-02  4.1004e-04
 1.1440e-02  3.9427e-04
 1.1532e-02  3.9639e-04
 1.1625e-02  3.5114e-04
 1.1742e-02  3.1949e-04
 1.1837e-02  3.5240e-04
 1.1932e-02  3.9497e-04
 1.2028e-02  4.2872e-04
 1.2125e-02  3.9780e-04
 1.2223e-02  4.0136e-04
 1.2322e-02  3.8524e-04
 1.2421e-02  2.9804e-04
 1.2521e-02  3.2408e-04
 1.2622e-02  2.9911e-04
 1.2724e-02  3.0017e-04
 1.2827e-02  3.1722e-04
 1.2930e-02  3.8455e-04
 1.3034e-02  3.6130e-04
 1.3139e-02  3.9008e-04
 1.3245e-02  3.3405e-04
 1.3325e-02  3.6714e-04
 1.3433e-02  3.2293e-04
 1.3541e-02  2.1935e-04
 1.3623e-02  2.6829e-04
 1.3733e-02  2.4542e-04
 1.3843e-02  3.2815e-04
 1.3927e-02  3.6389e-04
 1.4039e-02  4.2872e-04
 1.4124e-02  4.0065e-04
 1.4238e-02  4.1223e-04
 1.4324e-02  3.7642e-04
 1.4439e-02  4.1297e-04
 1.4527e-02  3.7911e-04
 1.4644e-02  3.1497e-04
 1.4762e-02  3.4865e-04
 1.4881e-02  4.3333e-04
 1.5001e-02  4.9796e-04
 1.5122e-02  4.6618e-04
 1.5244e-02  4.7541e-04
 1.5366e-02  4.4985e-04
 1.5459e-02  4.5550e-04
 1.5584e-02  3.8250e-04
 1.5710e-02  3.1107e-04
 1.5836e-02  3.0612e-04
 1.5964e-02  3.6324e-04
 1.6060e-02  3.9287e-04
 1.6190e-02  3.5937e-04
 1.6320e-02  3.5303e-04
 1.6419e-02  3.8869e-04
 1.6551e-02  3.8524e-04
 1.6685e-02  3.4494e-04
 1.6786e-02  3.7308e-04
 1.6921e-02  4.3565e-04
 1.7023e-02  4.1150e-04
 1.7160e-02  3.9427e-04
 1.7264e-02  5.5417e-04
 1.7403e-02  5.2439e-04
 1.7508e-02  4.7710e-04
 1.7649e-02  4.5876e-04
 1.7756e-02  4.7035e-04
 1.7863e-02  4.1223e-04
 1.8007e-02  3.3227e-04
 1.8116e-02  3.5052e-04
 1.8226e-02  3.5874e-04
 1.8336e-02  3.7911e-04
 1.8483e-02  3.2698e-04
 1.8595e-02  4.2567e-04
 1.8745e-02  4.4745e-04
 1.8896e-02  4.3565e-04
 1.9048e-02  5.1510e-04
 1.9164e-02  4.7881e-04
 1.9318e-02  4.7456e-04
 1.9435e-02  3.5052e-04
 1.9591e-02  4.3955e-04
 1.9749e-02  3.7776e-04
 1.9869e-02  3.2524e-04
 2.0029e-02  3.3168e-04
 2.0150e-02  2.9330e-04
 2.0312e-02  2.9435e-04
 2.0435e-02  2.4762e-04
 2.0558e-02  2.5660e-04
 2.0724e-02  2.9330e-04
 2.0849e-02  2.7070e-04
 2.0975e-02  2.2813e-04
 2.1144e-02  2.8303e-04
 2.1272e-02  2.5028e-04
 2.1401e-02  2.1625e-04
 2.1573e-02  2.2530e-04
 2.1704e-02  3.2873e-04
 2.1835e-02  4.4191e-04
 2.1967e-02  4.1741e-04
 2.2099e-02  4.3955e-04
 2.2233e-02  5.1055e-04
 2.2412e-02  5.1601e-04
 2.2593e-02  3.6714e-04
 2.2729e-02  2.6973e-04
 2.2912e-02  2.7704e-04
 2.3051e-02  2.8915e-04
 2.3237e-02  2.4412e-04
 2.3377e-02  2.3306e-04
 2.3518e-02  2.6075e-04
 2.3708e-02  2.6402e-04
 2.3851e-02  2.5524e-04
 2.3995e-02  2.3852e-04
 2.4189e-02  2.7803e-04
 2.4335e-02  2.8966e-04
 2.4482e-02  3.4067e-04
 2.4679e-02  4.2644e-04
 2.4828e-02  4.0208e-04
 2.4978e-02  4.2190e-04
 2.5129e-02  3.9357e-04
 2.5281e-02  4.1965e-04
 2.5433e-02  3.6259e-04
 2.5638e-02  3.8593e-04
 2.5793e-02  3.7109e-04
 2.5949e-02  3.8731e-04
 2.6106e-02  3.4927e-04
 2.6264e-02  3.2815e-04
 2.6475e-02  2.9330e-04
 2.6635e-02  2.6639e-04
 2.6796e-02  2.4542e-04
 2.7012e-02  2.3264e-04
 2.7175e-02  3.0071e-04
 2.7340e-02  2.5752e-04
 2.7560e-02  2.9911e-04
 2.7726e-02  3.5682e-04
 2.7894e-02  3.8251e-04
 2.8062e-02  4.7035e-04
 2.8232e-02  3.8525e-04
 2.8460e-02  4.3565e-04
 2.8631e-02  3.5746e-04
 2.8804e-02  3.0831e-04
 2.8978e-02  3.5240e-04
 2.9153e-02  2.7754e-04
 2.9330e-02  3.0776e-04
 2.9507e-02  3.5492e-04
 2.9685e-02  3.8387e-04
 2.9864e-02  3.4679e-04
 3.0105e-02  2.6497e-04
 3.0287e-02  2.7118e-04
 3.0470e-02  2.4325e-04
 3.0654e-02  2.3725e-04
 3.0901e-02  2.5615e-04
 3.1088e-02  3.0886e-04
 3.1276e-02  3.3346e-04
 3.1464e-02  2.8864e-04
 3.1655e-02  3.0558e-04
 3.1910e-02  3.5366e-04
 3.2102e-02  4.3799e-04
 3.2296e-02  4.4034e-04
 3.2491e-02  4.4034e-04
 3.2688e-02  4.4428e-04
 3.2885e-02  3.9078e-04
 3.3084e-02  3.1386e-04
 3.3284e-02  2.7853e-04
 3.3485e-02  2.8506e-04
 3.3687e-02  2.2014e-04
 3.3891e-02  2.4718e-04
 3.4095e-02  2.9540e-04
 3.4370e-02  3.4803e-04
 3.4578e-02  3.2757e-04
 3.4787e-02  2.8102e-04
 3.4997e-02  2.9226e-04
 3.5208e-02  2.8152e-04
 3.5421e-02  2.7361e-04
 3.5635e-02  2.4066e-04
 3.5850e-02  2.3306e-04
 3.6139e-02  2.0354e-04
 3.6357e-02  2.8864e-04
 3.6577e-02  3.6260e-04
 3.6798e-02  3.7176e-04
 3.7020e-02  3.6584e-04
 3.7169e-02  4.8140e-04
 3.7394e-02  5.3474e-04
 3.7620e-02  5.4925e-04
 3.7923e-02  4.8226e-04
 3.8152e-02  4.2949e-04
 3.8382e-02  4.5227e-04
 3.8614e-02  4.0931e-04
 3.8847e-02  4.9002e-04
 3.9082e-02  4.7626e-04
 3.9318e-02  4.5959e-04
 3.9556e-02  4.8226e-04
 3.9795e-02  4.6536e-04
 4.0035e-02  4.5067e-04
 4.0277e-02  4.6288e-04
 4.0520e-02  4.9265e-04
 4.0765e-02  4.8485e-04
 4.1011e-02  5.1329e-04
 4.1259e-02  6.0044e-04
 4.1508e-02  4.8399e-04
 4.1759e-02  3.1330e-04
 4.2011e-02  2.6545e-04
 4.2265e-02  2.6735e-04
 4.2520e-02  2.8153e-04
 4.2777e-02  3.0997e-04
 4.3035e-02  5.1238e-04
 4.3295e-02  5.8564e-04
 4.3557e-02  5.7429e-04
