#      mass       lower
 1.0e-03  10
 1.0e-03  2.4100e-06
 1.0287e-03  2.4100e-06
 1.0503e-03  2.5321e-06
 1.0768e-03  2.6186e-06
 1.1086e-03  2.6942e-06
 1.1458e-03  2.7653e-06
 1.1888e-03  2.8357e-06
 1.2380e-03  2.9077e-06
 1.2938e-03  2.9833e-06
 1.3567e-03  3.0640e-06
 1.4272e-03  3.1514e-06
 1.5060e-03  3.2469e-06
 1.5938e-03  3.3519e-06
 1.6914e-03  3.4675e-06
 1.7996e-03  3.5952e-06
 1.9194e-03  3.7361e-06
 2.0517e-03  3.8915e-06
 2.1978e-03  4.0630e-06
 2.3589e-03  4.2519e-06
 2.5363e-03  4.4595e-06
 2.7316e-03  4.6877e-06
 2.9465e-03  4.9376e-06
 3.1826e-03  5.2118e-06
 3.4419e-03  5.5119e-06
 3.7267e-03  5.8402e-06
 4.0392e-03  6.1991e-06
 4.3820e-03  6.5912e-06
 4.7580e-03  7.0194e-06
 5.1703e-03  7.4869e-06
 5.6221e-03  7.9977e-06
 6.1173e-03  8.5553e-06
 6.6600e-03  9.1644e-06
 7.2547e-03  9.8300e-06
 7.9063e-03  1.0557e-05
 8.6203e-03  1.1353e-05
 9.4027e-03  1.2224e-05
 1.0260e-02  1.3179e-05
 1.1200e-02  1.4225e-05
 1.2231e-02  1.5374e-05
 1.3361e-02  1.6636e-05
 1.4600e-02  1.8024e-05
 1.5960e-02  1.9552e-05
 1.7452e-02  2.1238e-05
 1.9090e-02  2.3099e-05
 2.0888e-02  2.5158e-05
 2.2862e-02  2.7436e-05
 2.5030e-02  2.9962e-05
 2.7411e-02  3.2768e-05
 3.0028e-02  3.5887e-05
 3.2902e-02  3.9362e-05
 3.6061e-02  4.3234e-05
 3.9532e-02  4.7559e-05
 4.3345e-02  5.2399e-05
 4.7534e-02  5.7821e-05
 5.2136e-02  6.3906e-05
 5.7190e-02  7.0736e-05
 6.2739e-02  7.8425e-05
 6.8830e-02  8.7090e-05
 7.5512e-02  9.6866e-05
 8.2840e-02  1.0791e-04
 9.0874e-02  1.2041e-04
 9.9675e-02  1.3458e-04
 1.0931e-01  1.5065e-04
 1.1986e-01  1.6892e-04
 1.3139e-01  1.8971e-04
 1.4400e-01  2.1339e-04
 1.5776e-01  2.4042e-04
 1.7279e-01  2.7130e-04
 1.8918e-01  3.0664e-04
 2.0704e-01  3.4713e-04
 2.2651e-01  4.3215e-04
 2.4770e-01  5.0625e-04
 2.7077e-01  5.8504e-04
 2.9587e-01  6.7274e-04
 3.2317e-01  7.7214e-04
 3.5286e-01  8.8579e-04
 3.8514e-01  1.0165e-03
 4.2025e-01  1.1674e-03
 4.5846e-01  1.3421e-03
 5.0003e-01  1.5451e-03
 5.4531e-01  1.7814e-03
 5.9468e-01  2.0576e-03
 6.4854e-01  2.3828e-03
 7.0740e-01  2.7855e-03
 7.7183e-01  5.3032e-03
 8.4247e-01  3.9978e-03
 9.2010e-01  4.4809e-03
 1.0056e+00  5.3554e-03
 1.0056e+00  10
