# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0
-7.475 -1.925 0.0
-7.475 -1.875 0.0
-7.475 -1.825 0.0
-7.475 -1.775 0.0
-7.475 -1.725 0.0
-7.475 -1.675 0.0
-7.475 -1.625 0.0
-7.475 -1.575 0.0
-7.475 -1.525 0.0
-7.475 -1.475 0.0
-7.475 -1.425 0.0
-7.475 -1.375 0.0
-7.475 -1.325 0.0
-7.475 -1.275 0.0
-7.475 -1.225 0.0
-7.475 -1.175 0.0
-7.475 -1.125 0.0
-7.475 -1.075 0.0
-7.475 -1.025 0.0
-7.475 -0.975 0.0
-7.475 -0.925 0.0
-7.475 -0.875 0.0
-7.475 -0.825 0.0
-7.475 -0.775 0.0
-7.475 -0.725 0.0
-7.475 -0.675 0.0
-7.475 -0.625 3.6775015417931675e-09
-7.475 -0.575 4.835636105312035e-09
-7.475 -0.525 6.326853870401432e-09
-7.475 -0.475 8.238262950105103e-09
-7.475 -0.425 1.0678580108256633e-08
-7.475 -0.375 1.3783753024791028e-08
-7.475 -0.325 1.7724128792909333e-08
-7.475 -0.275 2.2713543899675725e-08
-7.475 -0.225 2.9020798852804233e-08
-7.475 -0.175 3.698410113116528e-08
-7.475 -0.125 4.702921940898132e-08
-7.475 -0.075 5.969229578836354e-08
-7.475 -0.025 7.564851860566177e-08
-7.475 0.025 9.574817738939656e-08
-7.475 0.075 1.2106201954906885e-07
-7.475 0.125 1.5293832644426527e-07
-7.475 0.175 1.9307475159516553e-07
-7.475 0.225 2.436087498257694e-07
-7.475 0.275 3.072314154261257e-07
-7.475 0.325 3.873307929694093e-07
-7.475 0.375 4.881722926851403e-07
-7.475 0.425 6.151258167764141e-07
-7.475 0.475 7.749516887991301e-07
-7.475 0.525 9.761606073333657e-07
-7.475 0.575 1.2294667839401464e-06
-7.475 0.625 1.5483583830124622e-06
-7.475 0.675 1.9498156207775088e-06
-7.475 0.725 2.455214733410305e-06
-7.475 0.775 3.0914659062337897e-06
-7.475 0.825 3.892445690592949e-06
-7.475 0.875 4.900800079808182e-06
-7.475 0.925 6.170214096682559e-06
-7.475 0.975 7.768268499427167e-06
-7.475 1.025 9.780035341692785e-06
-7.475 1.075 1.2312603256640022e-05
-7.475 1.125 1.550077251693141e-05
-7.475 1.175 1.951422170599097e-05
-7.475 1.225 2.4566525408730607e-05
-7.475 1.275 3.092649966275341e-05
-7.475 1.325 3.8932473935130804e-05
-7.475 1.375 4.901024120729544e-05
-7.475 1.425 6.169562887614549e-05
-7.475 1.475 7.766287180965567e-05
-7.475 1.525 9.77602661912733e-05
-7.475 1.575 0.00012305495214249117
-7.475 1.625 0.00015488913035038195
-7.475 1.675 0.000194950581328639
-7.475 1.725 0.00024536104593944613
-7.475 1.775 0.00030878686405349495
-7.475 1.825 0.00038857727558799186
-7.475 1.875 0.0004889369808584494
-7.475 1.925 0.0006151409399223378
-7.475 1.975 0.0007738009448511125
-7.475 2.025 0.0009731951634408542
-7.475 2.075 0.0012236734925549116
-7.475 2.125 0.0015381529155554703
-7.475 2.175 0.0019327176736120577
-7.475 2.225 0.002427338165989179
-7.475 2.275 0.0030467188480846332
-7.475 2.325 0.0038212770668032145
-7.475 2.375 0.0047882388746349975
-7.475 2.425 0.005992810290629228
-7.475 2.475 0.007489337779990512
-7.475 2.525 0.009342303461281787
-7.475 2.575 0.011626902767867882
-7.475 2.625 0.014428823347699597
-7.475 2.675 0.017842694589483562
-7.475 2.725 0.021968544854649594
-7.475 2.775 0.02690557453139683
-7.475 2.825 0.032742786496554016
-7.475 2.875 0.03954674829094331
-7.475 2.925 0.047348240016921214
-7.475 2.975 0.05613179965111255
-7.475 3.025 0.06583456215647579
-7.475 3.075 0.07636138369094353
-7.475 3.125 0.08761881439940544
-7.475 3.175 0.09955829574621351
-7.475 3.225 0.112201379550367
-7.475 3.275 0.12560913596050635
-7.475 3.325 0.13977340886537856
-7.475 3.375 0.15445690367878095
-7.475 3.425 0.16906653253972062
-7.475 3.475 0.1826578818831705
-7.475 3.525 0.19410841556387476
-7.475 3.575 0.20239780977579855
-7.475 3.625 0.2068679656550383
-7.475 3.675 0.20733531161865992
-7.475 3.725 0.20392590083218806
-7.475 3.775 0.19612240159936037
-7.475 3.825 0.17083539332915226
-7.475 3.875 0.0
-7.475 3.925 0.0
-7.475 3.975 0.0
-7.425 -1.975 0.0
-7.425 -1.925 0.0
-7.425 -1.875 0.0
-7.425 -1.825 0.0
-7.425 -1.775 0.0
-7.425 -1.725 0.0
-7.425 -1.675 0.0
-7.425 -1.625 0.0
-7.425 -1.575 0.0
-7.425 -1.525 0.0
-7.425 -1.475 0.0
-7.425 -1.425 0.0
-7.425 -1.375 0.0
-7.425 -1.325 0.0
-7.425 -1.275 0.0
-7.425 -1.225 0.0
-7.425 -1.175 0.0
-7.425 -1.125 0.0
-7.425 -1.075 0.0
-7.425 -1.025 0.0
-7.425 -0.975 0.0
-7.425 -0.925 0.0
-7.425 -0.875 0.0
-7.425 -0.825 0.0
-7.425 -0.775 0.0
-7.425 -0.725 0.0
-7.425 -0.675 0.0
-7.425 -0.625 4.629700142875644e-09
-7.425 -0.575 6.087705175166692e-09
-7.425 -0.525 7.965037114156638e-09
-7.425 -0.475 1.0371358576929687e-08
-7.425 -0.425 1.344353586016397e-08
-7.425 -0.375 1.735271695280412e-08
-7.425 -0.325 2.231335613930621e-08
-7.425 -0.275 2.8594657607204107e-08
-7.425 -0.225 3.653502114636219e-08
-7.425 -0.175 4.656022474638929e-08
-7.425 -0.125 5.9206279410809895e-08
-7.425 -0.075 7.51481480563046e-08
-7.425 -0.025 9.523584243725117e-08
-7.425 0.025 1.2053981364848655e-07
-7.425 0.075 1.5240805281344439e-07
-7.425 0.125 1.9253794559795628e-07
-7.425 0.175 2.430667111589985e-07
-7.425 0.225 3.0668524569106635e-07
-7.425 0.275 3.86781436181436e-07
-7.425 0.325 4.876205780395679e-07
-7.425 0.375 6.145725045951325e-07
-7.425 0.425 7.743975221904543e-07
-7.425 0.475 9.756063739420041e-07
-7.425 0.525 1.2289133945643608e-06
-7.425 0.575 1.5478069772590337e-06
-7.425 0.625 1.9492677149388125e-06
-7.425 0.675 2.454672433309864e-06
-7.425 0.725 3.0909322193014196e-06
-7.425 0.775 3.891924989052597e-06
-7.425 0.825 4.900298793915517e-06
-7.425 0.875 6.169741758592388e-06
-7.425 0.925 7.767839322522657e-06
-7.425 0.975 9.77967061956646e-06
-7.425 1.025 1.2312335019898067e-05
-7.425 1.075 1.5500649125117347e-05
-7.425 1.125 1.9514316423995465e-05
-7.425 1.175 2.4566949597041325e-05
-7.425 1.225 3.092742311651264e-05
-7.425 1.275 3.893415632324374e-05
-7.425 1.325 4.901308078088641e-05
-7.425 1.375 6.170023809392467e-05
-7.425 1.425 7.767019498864114e-05
-7.425 1.475 9.777176287383402e-05
-7.425 1.525 0.00012307288337155286
-7.425 1.575 0.00015491700629865785
-7.425 1.625 0.0001949938622077814
-7.425 1.675 0.00024542824087706185
-7.425 1.725 0.0003088912557950164
-7.425 1.775 0.0003887396299811345
-7.425 1.825 0.0004891898066770603
-7.425 1.875 0.0006155351899584598
-7.425 1.925 0.0007744165610870687
-7.425 1.975 0.0009741576731178578
-7.425 2.025 0.0012251801218503696
-7.425 2.075 0.0015405136554520991
-7.425 2.125 0.001936419792516318
-7.425 2.175 0.0024331473929727
-7.425 2.225 0.003055837699926264
-7.425 2.275 0.0038355917800417328
-7.425 2.325 0.004810702804265289
-7.425 2.375 0.006028035596007814
-7.425 2.425 0.007544501161338749
-7.425 2.475 0.009428517646224266
-7.425 2.525 0.011761263228141812
-7.425 2.575 0.014637403348715914
-7.425 2.625 0.018164812364986394
-7.425 2.675 0.022462621618428588
-7.425 2.725 0.027656759354142486
-7.425 2.775 0.03387211146020474
-7.425 2.825 0.041220725917801584
-7.425 2.875 0.04978640629252358
-7.425 2.925 0.05960790243287274
-7.425 2.975 0.07066574879818953
-7.425 3.025 0.08288080298641264
-7.425 3.075 0.09613328598329564
-7.425 3.125 0.11030555137173702
-7.425 3.175 0.12533646754974045
-7.425 3.225 0.14125316661489465
-7.425 3.275 0.1581325312917368
-7.425 3.325 0.17596429361720345
-7.425 3.375 0.19444971740890282
-7.425 3.425 0.21284214933837378
-7.425 3.475 0.22995264327705983
-7.425 3.525 0.2443680100977398
-7.425 3.575 0.25480373839788567
-7.425 3.625 0.2604313309368493
-7.425 3.675 0.2610196848773533
-7.425 3.725 0.2567274917883237
-7.425 3.775 0.24690346964403456
-7.425 3.825 0.21506901438438134
-7.425 3.875 0.0
-7.425 3.925 0.0
-7.425 3.975 0.0
-7.375 -1.975 0.0
-7.375 -1.925 0.0
-7.375 -1.875 0.0
-7.375 -1.825 0.0
-7.375 -1.775 0.0
-7.375 -1.725 0.0
-7.375 -1.675 0.0
-7.375 -1.625 0.0
-7.375 -1.575 0.0
-7.375 -1.525 0.0
-7.375 -1.475 0.0
-7.375 -1.425 0.0
-7.375 -1.375 0.0
-7.375 -1.325 0.0
-7.375 -1.275 0.0
-7.375 -1.225 0.0
-7.375 -1.175 0.0
-7.375 -1.125 0.0
-7.375 -1.075 0.0
-7.375 -1.025 0.0
-7.375 -0.975 0.0
-7.375 -0.925 0.0
-7.375 -0.875 0.0
-7.375 -0.825 0.0
-7.375 -0.775 0.0
-7.375 -0.725 0.0
-7.375 -0.675 0.0
-7.375 -0.625 5.828447158853229e-09
-7.375 -0.575 7.6639667445282e-09
-7.375 -0.525 1.0027387628895454e-08
-7.375 -0.475 1.3056766867326155e-08
-7.375 -0.425 1.6924408918726555e-08
-7.375 -0.375 2.184577633555652e-08
-7.375 -0.325 2.8090851066185922e-08
-7.375 -0.275 3.599854110326259e-08
-7.375 -0.225 4.599486654159254e-08
-7.375 -0.175 5.8615850112076956e-08
-7.375 -0.125 7.453628968805417e-08
-7.375 -0.075 9.4605913237352e-08
-7.375 -0.025 1.1989482215788032e-07
-7.375 0.025 1.5175063453501236e-07
-7.375 0.075 1.9187037064891141e-07
-7.375 0.125 2.423909124479083e-07
-7.375 0.175 3.060028594392933e-07
-7.375 0.225 3.8609384922281665e-07
-7.375 0.275 4.869289788190469e-07
-7.375 0.325 6.138779370077624e-07
-7.375 0.375 7.737009434247829e-07
-7.375 0.425 9.749087195159745e-07
-7.375 0.475 1.2282156560639112e-06
-7.375 0.525 1.5471103013112414e-06
-7.375 0.575 1.948573536223612e-06
-7.375 0.625 2.453982660726258e-06
-7.375 0.675 3.0902495039241538e-06
-7.375 0.725 3.891253117011495e-06
-7.375 0.775 4.8996432695144105e-06
