# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0
-7.475 -1.925 0.0
-7.475 -1.875 0.0
-7.475 -1.825 0.0
-7.475 -1.775 0.0
-7.475 -1.725 0.0
-7.475 -1.675 0.0
-7.475 -1.625 0.0
-7.475 -1.575 0.0
-7.475 -1.525 0.0
-7.475 -1.475 0.0
-7.475 -1.425 0.0
-7.475 -1.375 0.0
-7.475 -1.325 0.0
-7.475 -1.275 0.0
-7.475 -1.225 0.0
-7.475 -1.175 0.0
-7.475 -1.125 0.0
-7.475 -1.075 0.0
-7.475 -1.025 0.0
-7.475 -0.975 0.0
-7.475 -0.925 0.0
-7.475 -0.875 0.0
-7.475 -0.825 0.0
-7.475 -0.775 0.0
-7.475 -0.725 0.0
-7.475 -0.675 0.0
-7.475 -0.625 0.0
-7.475 -0.575 0.0
-7.475 -0.525 5.069456691248585e-09
-7.475 -0.475 6.665971740644029e-09
-7.475 -0.425 8.721655381818669e-09
-7.475 -0.375 1.1356590486920255e-08
-7.475 -0.325 1.4720648324650651e-08
-7.475 -0.275 1.900123898468093e-08
-7.475 -0.225 2.4433193345071687e-08
-7.475 -0.175 3.1311293885711574e-08
-7.475 -0.125 4.00060928295149e-08
-7.475 -0.075 5.0983822216391154e-08
-7.475 -0.025 6.483142006819417e-08
-7.475 0.025 8.22879777186238e-08
-7.475 0.075 1.0428426604413209e-07
-7.475 0.125 1.3199243808775268e-07
-7.475 0.175 1.6688855420566058e-07
-7.475 0.225 2.1083126244114285e-07
-7.475 0.275 2.6616082852125733e-07
-7.475 0.325 3.3582379337234895e-07
-7.475 0.375 4.2352989972898857e-07
-7.475 0.425 5.339496463030842e-07
-7.475 0.475 6.729629896877137e-07
-7.475 0.525 8.47972435784109e-07
-7.475 0.575 1.0682971888027782e-06
-7.475 0.625 1.3456693389097916e-06
-7.475 0.675 1.6948584985065652e-06
-7.475 0.725 2.134458130241729e-06
-7.475 0.775 2.687875409826786e-06
-7.475 0.825 3.384577289702739e-06
-7.475 0.875 4.261659049147155e-06
-7.475 0.925 5.365818753527256e-06
-7.475 0.975 6.755842606127037e-06
-7.475 1.025 8.505733298345884e-06
-7.475 1.075 1.0708647576757325e-05
-7.475 1.125 1.3481852140839469e-05
-7.475 1.175 1.697296090970143e-05
-7.475 1.225 2.1367784462709117e-05
-7.475 1.275 2.6900207584683675e-05
-7.475 1.325 3.386461772130131e-05
-7.475 1.375 4.263154124178472e-05
-7.475 1.425 5.3667312503510265e-05
-7.475 1.475 6.755881121731407e-05
-7.475 1.525 8.50445668670946e-05
-7.475 1.575 0.00010705385759983736
-7.475 1.625 0.00013475584043035527
-7.475 1.675 0.0001696212582234978
-7.475 1.725 0.0002134998984841289
-7.475 1.775 0.00026871775462677467
-7.475 1.825 0.0003381987901639494
-7.475 1.875 0.00042561735981588747
-7.475 1.925 0.0005355887273700617
-7.475 1.975 0.0006739067600710442
-7.475 2.025 0.000847839779027399
-7.475 2.075 0.001066497677477899
-7.475 2.125 0.0013412856965600481
-7.475 2.175 0.0016864624798954963
-7.475 2.225 0.002119821847979048
-7.475 2.275 0.002663518493129723
-7.475 2.325 0.0033450564045629117
-7.475 2.375 0.004198453524915377
-7.475 2.425 0.005265584158288532
-7.475 2.475 0.006597677860552907
-7.475 2.525 0.008256914036583159
-7.475 2.575 0.01031798736888491
-7.475 2.625 0.012869421152776448
-7.475 2.675 0.016014264967596264
-7.475 2.725 0.019869627669945572
-7.475 2.775 0.024564282964716022
-7.475 2.825 0.03023340052907631
-7.475 2.875 0.03700943449340268
-7.475 2.925 0.04500859187898683
-7.475 2.975 0.05431347983365362
-7.475 3.025 0.06495488166781568
-7.475 3.075 0.076899160203181
-7.475 3.125 0.09005138524434278
-7.475 3.175 0.1042845851229009
-7.475 3.225 0.11949692386414779
-7.475 3.275 0.13567666001151563
-7.475 3.325 0.15292489549493715
-7.475 3.375 0.17137259804027302
-7.475 3.425 0.19096639529509013
-7.475 3.475 0.21119525592083865
-7.475 3.525 0.23092698255758634
-7.475 3.575 0.24851576722094051
-7.475 3.625 0.262189625310409
-7.475 3.675 0.2705170540439918
-7.475 3.725 0.2725787966233311
-7.475 3.775 0.2669374253234679
-7.475 3.825 0.23525094670503904
-7.475 3.875 0.0
-7.475 3.925 0.0
-7.475 3.975 0.0
-7.425 -1.975 0.0
-7.425 -1.925 0.0
-7.425 -1.875 0.0
-7.425 -1.825 0.0
-7.425 -1.775 0.0
-7.425 -1.725 0.0
-7.425 -1.675 0.0
-7.425 -1.625 0.0
-7.425 -1.575 0.0
-7.425 -1.525 0.0
-7.425 -1.475 0.0
-7.425 -1.425 0.0
-7.425 -1.375 0.0
-7.425 -1.325 0.0
-7.425 -1.275 0.0
-7.425 -1.225 0.0
-7.425 -1.175 0.0
-7.425 -1.125 0.0
-7.425 -1.075 0.0
-7.425 -1.025 0.0
-7.425 -0.975 0.0
-7.425 -0.925 0.0
-7.425 -0.875 0.0
-7.425 -0.825 0.0
-7.425 -0.775 0.0
-7.425 -0.725 0.0
-7.425 -0.675 0.0
-7.425 -0.625 0.0
-7.425 -0.575 0.0
-7.425 -0.525 6.3820678526028146e-09
-7.425 -0.475 8.39196121859856e-09
-7.425 -0.425 1.0979913593082871e-08
-7.425 -0.375 1.4297100355323791e-08
-7.425 -0.325 1.8532198253987928e-08
-7.425 -0.275 2.3921142613388777e-08
-7.425 -0.225 3.075956799339082e-08
-7.425 -0.175 3.9418583548877575e-08
-7.425 -0.125 5.0364686889672626e-08
-7.425 -0.075 6.418482937861075e-08
-7.425 -0.025 8.161792220655178e-08
-7.425 0.025 1.0359442623512746e-07
-7.425 0.075 1.3128611257326103e-07
-7.425 0.125 1.6616863447333951e-07
-7.425 0.175 2.1010024182709346e-07
-7.425 0.225 2.654208338877985e-07
-7.425 0.275 3.350766306495982e-07
-7.425 0.325 4.227771073615599e-07
-7.425 0.375 5.331925534234536e-07
-7.425 0.425 6.722027783494513e-07
-7.425 0.475 8.472102089148245e-07
-7.425 0.525 1.0675340479095896e-06
-7.425 0.575 1.3449064783320532e-06
-7.425 0.625 1.6940973266257376e-06
-7.425 0.675 2.133700433165132e-06
-7.425 0.725 2.6871235805718345e-06
-7.425 0.775 3.3838346571673783e-06
-7.425 0.825 4.2609303581878545e-06
-7.425 0.875 5.365110873373366e-06
-7.425 0.925 6.755165583896283e-06
-7.425 0.975 8.50510193493366e-06
-7.425 1.025 1.0708083795229239e-05
-7.425 1.075 1.3481388560324316e-05
-7.425 1.125 1.6972646258148846e-05
-7.425 1.175 2.136769180260338e-05
-7.425 1.225 2.6900446853831135e-05
-7.425 1.275 3.386535491087435e-05
-7.425 1.325 4.263302781000627e-05
-7.425 1.375 5.366993061317832e-05
-7.425 1.425 6.756314349327986e-05
-7.425 1.475 8.505150423194191e-05
-7.425 1.525 0.00010706476636379232
-7.425 1.575 0.00013477282176267837
-7.425 1.625 0.00016964755190489763
-7.425 1.675 0.0002135405123571793
-7.425 1.725 0.0002687804476157455
-7.425 1.775 0.000338295609897697
-7.425 1.825 0.0004257670511719192
-7.425 1.875 0.0005358205099673802
-7.425 1.925 0.0006742662591478144
-7.425 1.975 0.0008483983454192683
-7.425 2.025 0.001067367042925267
-7.425 2.075 0.001342641027761052
-7.425 2.125 0.0016885786478194383
-7.425 2.175 0.002123130471888957
-7.425 2.225 0.002668697592756327
-7.425 2.275 0.0033531711155611998
-7.425 2.325 0.004211176511234779
-7.425 2.375 0.005285539832191383
-7.425 2.425 0.006628977703921223
-7.425 2.475 0.008305984316075047
-7.425 2.525 0.010394838901430618
-7.425 2.575 0.012989576493749534
-7.425 2.625 0.016201641318778364
-7.425 2.675 0.020160765110210643
-7.425 2.725 0.025014379182937665
-7.425 2.775 0.030924600025459305
-7.425 2.825 0.0380615961778214
-7.425 2.875 0.04659211750849562
-7.425 2.925 0.05666245998643328
-7.425 2.975 0.06837661984457294
-7.425 3.025 0.08177335096787482
-7.425 3.075 0.09681030664792234
-7.425 3.125 0.11336797683486369
-7.425 3.175 0.13128651364739577
-7.425 3.225 0.15043771315806476
-7.425 3.275 0.17080679370598423
-7.425 3.325 0.19252103502731632
-7.425 3.375 0.21574531566941083
-7.425 3.425 0.2404124437975495
-7.425 3.475 0.2658790691114423
-7.425 3.525 0.2907198397125339
-7.425 3.575 0.3128628063272981
-7.425 3.625 0.33007717278745163
-7.425 3.675 0.34056078412676544
-7.425 3.725 0.3431563647919431
-7.425 3.775 0.33605430058684455
-7.425 3.825 0.2961633901161854
-7.425 3.875 0.0
-7.425 3.925 0.0
-7.425 3.975 0.0
-7.375 -1.975 0.0
-7.375 -1.925 0.0
-7.375 -1.875 0.0
-7.375 -1.825 0.0
-7.375 -1.775 0.0
-7.375 -1.725 0.0
-7.375 -1.675 0.0
-7.375 -1.625 0.0
-7.375 -1.575 0.0
-7.375 -1.525 0.0
-7.375 -1.475 0.0
-7.375 -1.425 0.0
-7.375 -1.375 0.0
-7.375 -1.325 0.0
-7.375 -1.275 0.0
-7.375 -1.225 0.0
-7.375 -1.175 0.0
-7.375 -1.125 0.0
-7.375 -1.075 0.0
-7.375 -1.025 0.0
-7.375 -0.975 0.0
-7.375 -0.925 0.0
-7.375 -0.875 0.0
-7.375 -0.825 0.0
-7.375 -0.775 0.0
-7.375 -0.725 0.0
-7.375 -0.675 0.0
-7.375 -0.625 0.0
-7.375 -0.575 0.0
-7.375 -0.525 8.034547399436308e-09
-7.375 -0.475 1.0564853232884863e-08
-7.375 -0.425 1.3822892241636212e-08
-7.375 -0.375 1.799898295228851e-08
-7.375 -0.325 2.3330655318352858e-08
-7.375 -0.275 3.011493431514743e-08
-7.375 -0.225 3.872400180269016e-08
-7.375 -0.175 4.9625056526613394e-08
-7.375 -0.125 6.340538418246525e-08
-7.375 -0.075 8.080391275640569e-08
-7.375 -0.025 1.0275087632366719e-07
-7.375 0.025 1.3041765570763786e-07
-7.375 0.075 1.6527942333414733e-07
-7.375 0.125 2.0919391658162235e-07
-7.375 0.175 2.6450053346022624e-07
-7.375 0.225 3.341450326009455e-07
-7.375 0.275 4.218364852231436e-07
-7.375 0.325 5.322448439822927e-07
-7.375 0.375 6.712496548841951e-07
-7.375 0.425 8.462531595427515e-07
-7.375 0.475 1.0665744611342948e-06
-7.375 0.525 1.3439457408688382e-06
-7.375 0.575 1.6931369420587662e-06
-7.375 0.625 2.1327421745416147e-06
-7.375 0.675 2.6861696964676647e-06
-7.375 0.725 3.382888160212989e-06
-7.375 0.775 4.259995439217465e-06
-7.375 0.825 5.364193505807357e-06
-7.375 0.875 6.7542744155820445e-06
