# log10(theta) log10(p/GeV) cross-section[pb/bin] 
-7.475 -1.975 0.0
-7.475 -1.925 0.0
-7.475 -1.875 0.0
-7.475 -1.825 0.0
-7.475 -1.775 0.0
-7.475 -1.725 0.0
-7.475 -1.675 0.0
-7.475 -1.625 0.0
-7.475 -1.575 0.0
-7.475 -1.525 0.0
-7.475 -1.475 0.0
-7.475 -1.425 0.0
-7.475 -1.375 0.0
-7.475 -1.325 0.0
-7.475 -1.275 0.0
-7.475 -1.225 0.0
-7.475 -1.175 0.0
-7.475 -1.125 0.0
-7.475 -1.075 0.0
-7.475 -1.025 0.0
-7.475 -0.975 0.0
-7.475 -0.925 0.0
-7.475 -0.875 0.0
-7.475 -0.825 0.0
-7.475 -0.775 0.0
-7.475 -0.725 0.0
-7.475 -0.675 0.0
-7.475 -0.625 0.0
-7.475 -0.575 0.0
-7.475 -0.525 0.0
-7.475 -0.475 0.0
-7.475 -0.425 0.0
-7.475 -0.375 0.0
-7.475 -0.325 0.0
-7.475 -0.275 0.0
-7.475 -0.225 0.0
-7.475 -0.175 6.454655592222496e-08
-7.475 -0.125 8.487432924546414e-08
-7.475 -0.075 1.1104857148953161e-07
-7.475 -0.025 1.4459826948539176e-07
-7.475 0.025 1.8743169286417883e-07
-7.475 0.075 2.4193507442457964e-07
-7.475 0.125 3.1109842975909e-07
-7.475 0.175 3.9867510237761045e-07
-7.475 0.225 5.09383163154919e-07
-7.475 0.275 6.491589076860015e-07
-7.475 0.325 8.254754900891094e-07
-7.475 0.375 1.047743307900122e-06
-7.475 0.425 1.3278132420673338e-06
-7.475 0.475 1.6806094539565201e-06
-7.475 0.525 2.124925424948212e-06
-7.475 0.575 2.684425663351172e-06
-7.475 0.625 3.3889064710133604e-06
-7.475 0.675 4.275882952258199e-06
-7.475 0.725 5.392586803116483e-06
-7.475 0.775 6.798481268279406e-06
-7.475 0.825 8.568427161798082e-06
-7.475 0.875 1.0796668478886184e-05
-7.475 0.925 1.3601849720668291e-05
-7.475 0.975 1.7133331926554832e-05
-7.475 1.025 2.1579143472785564e-05
-7.475 1.075 2.7175988614568288e-05
-7.475 1.125 3.422184613157489e-05
-7.475 1.175 4.30918280774092e-05
-7.475 1.225 5.4258141818516926e-05
-7.475 1.275 6.831521643340925e-05
-7.475 1.325 8.601132863304248e-05
-7.475 1.375 0.00010828840810487634
-7.475 1.425 0.00013633213571002823
-7.475 1.475 0.0001716349930205774
-7.475 1.525 0.00021607560677961097
-7.475 1.575 0.00027201859269156646
-7.475 1.625 0.0003424401841337416
-7.475 1.675 0.00043108628863484884
-7.475 1.725 0.0005426713177000211
-7.475 1.775 0.0006831282700114315
-7.475 1.825 0.0008599232209849713
-7.475 1.875 0.0010824507147621798
-7.475 1.925 0.0013625307293182523
-7.475 1.975 0.0017150330877223133
-7.475 2.025 0.0021586616549139456
-7.475 2.075 0.0027169386699171672
-7.475 2.125 0.00341943944394788
-7.475 2.175 0.004303339772607749
-7.475 2.225 0.005415353159670215
-7.475 2.275 0.006814152719612977
-7.475 2.325 0.00857339373464642
-7.475 2.375 0.010785477419983064
-7.475 2.425 0.013566224234656213
-7.475 2.475 0.017060655057250667
-7.475 2.525 0.021450108399873862
-7.475 2.575 0.026960946982713865
-7.475 2.625 0.03387511913910273
-7.475 2.675 0.042542825393683606
-7.475 2.725 0.05339747456028653
-7.475 2.775 0.06697295924188602
-7.475 2.825 0.08392298011332393
-7.475 2.875 0.1050416181386083
-7.475 2.925 0.13128348152647276
-7.475 2.975 0.16378040956803738
-7.475 3.025 0.20384979787130875
-7.475 3.075 0.2529871795769912
-7.475 3.125 0.3128332830942929
-7.475 3.175 0.3851050069259417
-7.475 3.225 0.4714844003236331
-7.475 3.275 0.5734772298108303
-7.475 3.325 0.692294700341034
-7.475 3.375 0.82888981153716
-7.475 3.425 0.9843848242417202
-7.475 3.475 1.1611771182394734
-7.475 3.525 1.3647685684477835
-7.475 3.575 1.6054096379750833
-7.475 3.625 1.8967382283908927
-7.475 3.675 2.2467183037535694
-7.475 3.725 2.6372143686745755
-7.475 3.775 2.9902154859733696
-7.475 3.825 2.9568128273125334
-7.475 3.875 0.0
-7.475 3.925 0.0
-7.475 3.975 0.0
-7.425 -1.975 0.0
-7.425 -1.925 0.0
-7.425 -1.875 0.0
-7.425 -1.825 0.0
-7.425 -1.775 0.0
-7.425 -1.725 0.0
-7.425 -1.675 0.0
-7.425 -1.625 0.0
-7.425 -1.575 0.0
-7.425 -1.525 0.0
-7.425 -1.475 0.0
-7.425 -1.425 0.0
-7.425 -1.375 0.0
-7.425 -1.325 0.0
-7.425 -1.275 0.0
-7.425 -1.225 0.0
-7.425 -1.175 0.0
-7.425 -1.125 0.0
-7.425 -1.075 0.0
-7.425 -1.025 0.0
-7.425 -0.975 0.0
-7.425 -0.925 0.0
-7.425 -0.875 0.0
-7.425 -0.825 0.0
-7.425 -0.775 0.0
-7.425 -0.725 0.0
-7.425 -0.675 0.0
-7.425 -0.625 0.0
-7.425 -0.575 0.0
-7.425 -0.525 0.0
-7.425 -0.475 0.0
-7.425 -0.425 0.0
-7.425 -0.375 0.0
-7.425 -0.325 0.0
-7.425 -0.275 0.0
-7.425 -0.225 0.0
-7.425 -0.175 8.125929949428222e-08
-7.425 -0.125 1.0685044989609956e-07
-7.425 -0.075 1.3980186859161257e-07
-7.425 -0.025 1.8203843595662053e-07
-7.425 0.025 2.3596252112231377e-07
-7.425 0.075 3.045782131974161e-07
-7.425 0.125 3.916497187929807e-07
-7.425 0.175 5.019022174328139e-07
-7.425 0.225 6.412754084358207e-07
-7.425 0.275 8.172426451784494e-07
-7.425 0.325 1.039212071286421e-06
-7.425 0.375 1.319030675352741e-06
-7.425 0.425 1.671617832555361e-06
-7.425 0.475 2.115761948887374e-06
-7.425 0.525 2.6751226156348093e-06
-7.425 0.575 3.3794916836651843e-06
-7.425 0.625 4.266380474552382e-06
-7.425 0.675 5.383017706455264e-06
-7.425 0.725 6.788864561749134e-06
-7.425 0.775 8.558780830243472e-06
-7.425 0.825 1.0787010693094796e-05
-7.425 0.875 1.3592200310786604e-05
-7.425 0.925 1.7123714260754246e-05
-7.425 0.975 2.1569586951043483e-05
-7.425 1.025 2.716653208264084e-05
-7.425 1.075 3.421254265750718e-05
-7.425 1.125 4.308275173354669e-05
-7.425 1.175 5.4249397407311345e-05
-7.425 1.225 6.830695353205568e-05
-7.425 1.275 8.600376198022615e-05
-7.425 1.325 0.00010828184731829863
-7.425 1.375 0.00013632702876593806
-7.425 1.425 0.0001716319900894808
-7.425 1.475 0.0002160756542666485
-7.425 1.525 0.0002720230722435839
-7.425 1.575 0.000342451118819722
-7.425 1.625 0.00043110664982515875
-7.425 1.675 0.0005427054834379983
-7.425 1.725 0.0006831827121036722
-7.425 1.775 0.0008600075386312521
-7.425 1.825 0.0010825791950880845
-7.425 1.875 0.001362724711826033
-7.425 1.925 0.0017153245594846895
-7.425 1.975 0.0021590987361942964
-7.425 2.025 0.0027175940128254875
-7.425 2.075 0.0034204231338269817
-7.425 2.125 0.004304819210048744
-7.425 2.175 0.005417583795275074
-7.425 2.225 0.006817525706476618
-7.425 2.275 0.008578510018452633
-7.425 2.325 0.010793263237681325
-7.425 2.375 0.01357811160205958
-7.425 2.425 0.017078864430646466
-7.425 2.475 0.021478092192695485
-7.425 2.525 0.027004086549175556
-7.425 2.575 0.03394182128071843
-7.425 2.625 0.04264624830881583
-7.425 2.675 0.053558243972920076
-7.425 2.725 0.06722343764206659
-7.425 2.775 0.08431396028068394
-7.425 2.825 0.10565277227903791
-7.425 2.875 0.1322395623401412
-7.425 2.925 0.16527611099371833
-7.425 2.975 0.20618731948133584
-7.425 3.025 0.25663169060475877
-7.425 3.075 0.3184919890285457
-7.425 3.125 0.3938337694241938
-7.425 3.175 0.48481847891954355
-7.425 3.225 0.59356369201864
-7.425 3.275 0.7219650563932253
-7.425 3.325 0.87154738862651
-7.425 3.375 1.0435104439785579
-7.425 3.425 1.239267064841825
-7.425 3.475 1.4618353730572473
-7.425 3.525 1.7181418180005747
-7.425 3.575 2.02109096709095
-7.425 3.625 2.3878519200957977
-7.425 3.675 2.828450713721588
-7.425 3.725 3.3200561152390806
-7.425 3.775 3.764458182812337
-7.425 3.825 3.7224067448996383
-7.425 3.875 0.0
-7.425 3.925 0.0
-7.425 3.975 0.0
-7.375 -1.975 0.0
-7.375 -1.925 0.0
-7.375 -1.875 0.0
-7.375 -1.825 0.0
-7.375 -1.775 0.0
-7.375 -1.725 0.0
-7.375 -1.675 0.0
-7.375 -1.625 0.0
-7.375 -1.575 0.0
-7.375 -1.525 0.0
-7.375 -1.475 0.0
-7.375 -1.425 0.0
-7.375 -1.375 0.0
-7.375 -1.325 0.0
-7.375 -1.275 0.0
-7.375 -1.225 0.0
-7.375 -1.175 0.0
-7.375 -1.125 0.0
-7.375 -1.075 0.0
-7.375 -1.025 0.0
-7.375 -0.975 0.0
-7.375 -0.925 0.0
-7.375 -0.875 0.0
-7.375 -0.825 0.0
-7.375 -0.775 0.0
-7.375 -0.725 0.0
-7.375 -0.675 0.0
-7.375 -0.625 0.0
-7.375 -0.575 0.0
-7.375 -0.525 0.0
-7.375 -0.475 0.0
-7.375 -0.425 0.0
-7.375 -0.375 0.0
-7.375 -0.325 0.0
-7.375 -0.275 0.0
-7.375 -0.225 0.0
-7.375 -0.175 1.022993970779447e-07
-7.375 -0.125 1.3451674663583904e-07
-7.375 -0.075 1.7600012498628957e-07
-7.375 -0.025 2.2917281294905435e-07
-7.375 0.025 2.970592140718984e-07
-7.375 0.075 3.8344125247308795e-07
-7.375 0.125 4.930577835105223e-07
-7.375 0.175 6.318574557620101e-07
-7.375 0.225 8.073179076385364e-07
-7.375 0.275 1.028847533617031e-06
-7.375 0.325 1.3082904847857235e-06
-7.375 0.375 1.660561236137582e-06
-7.375 0.425 2.1044421682122226e-06
-7.375 0.475 2.6635864827614535e-06
-7.375 0.525 3.3677798404879222e-06
-7.375 0.575 4.254527959513126e-06
-7.375 0.625 5.371054795796403e-06
-7.375 0.675 6.7768177827944114e-06
-7.375 0.725 8.546674114014739e-06
-7.375 0.775 1.0774866681170099e-05
-7.375 0.825 1.3580041878832154e-05
-7.375 0.875 1.7111566373445372e-05
-7.375 0.925 2.1557479027164967e-05
-7.375 0.975 2.7154501134571375e-05
-7.375 1.025 3.420063758915629e-05
-7.375 1.075 4.30710393536249e-05
-7.375 1.125 5.423797096737667e-05
-7.375 1.175 6.829594497057774e-05
-7.375 1.225 8.599335960373698e-05
-7.375 1.275 0.00010827232146678587
-7.375 1.325 0.00013631876922499394
